model,outcome,contrast,estimate,std_error,t_statistic,cluster_df,p_value,conf_low,conf_high,weights,specification,phase,signed_horizon_minutes,holm_p_value_within_spec
EXPANDING_-15M,pre_15m_change,large_minus_ordinary,-4.6695230729533565e-07,3.023729859616442e-06,-0.15442924102835304,103,0.8775734939377693,-6.46380732116075e-06,5.529902706570079e-06,"{""expanding_signed_log_large_net_flow"": 1, ""expanding_signed_log_ordinary_net_flow"": -1}",expanding,pre,-15,1.0
EXPANDING_-5M,pre_5m_change,large_minus_ordinary,8.571174828913471e-07,2.3397352790155308e-06,0.3663309651218272,103,0.714869526853108,-3.7831956040925237e-06,5.497430569875218e-06,"{""expanding_signed_log_large_net_flow"": 1, ""expanding_signed_log_ordinary_net_flow"": -1}",expanding,pre,-5,1.0
EXPANDING_-1M,pre_1m_change,large_minus_ordinary,8.427466142741777e-08,9.038112068872419e-07,0.09324365618087732,103,0.9258911255541029,-1.7082216987788588e-06,1.8767710216336943e-06,"{""expanding_signed_log_large_net_flow"": 1, ""expanding_signed_log_ordinary_net_flow"": -1}",expanding,pre,-1,1.0
EXPANDING_+1M,post_1m_change,large_minus_ordinary,5.811183634881393e-05,4.058370346226479e-06,14.31900772753453,103,3.0136117144733685e-26,5.006301595518982e-05,6.616065674243804e-05,"{""expanding_signed_log_large_net_flow"": 1, ""expanding_signed_log_ordinary_net_flow"": -1}",expanding,post,1,2.109528200131358e-25
EXPANDING_+5M,post_5m_change,large_minus_ordinary,8.154817990964033e-05,6.667785470349961e-06,12.230174511802378,103,8.775043392550978e-22,6.832420006167888e-05,9.477215975760177e-05,"{""expanding_signed_log_large_net_flow"": 1, ""expanding_signed_log_ordinary_net_flow"": -1}",expanding,post,5,5.265026035530587e-21
EXPANDING_+15M,post_15m_change,large_minus_ordinary,0.00010778494361228015,1.7747209948239906e-05,6.073345834451562,103,2.122581039897175e-08,7.258753845330048e-05,0.0001429823487712598,"{""expanding_signed_log_large_net_flow"": 1, ""expanding_signed_log_ordinary_net_flow"": -1}",expanding,post,15,1.0612905199485874e-07
EXPANDING_+30M,post_30m_change,large_minus_ordinary,0.00011863183767932765,4.496550756094248e-05,2.63828530165136,103,0.00962504706480424,2.9453358785037058e-05,0.00020781031657361824,"{""expanding_signed_log_large_net_flow"": 1, ""expanding_signed_log_ordinary_net_flow"": -1}",expanding,post,30,0.03850018825921696
ROLLING7_-15M,pre_15m_change,large_minus_ordinary,-2.8337136895339794e-06,3.3237432431090507e-06,-0.8525669650954463,102,0.39589697198569473,-9.4263426526987e-06,3.758915273630741e-06,"{""rolling7_signed_log_large_net_flow"": 1, ""rolling7_signed_log_ordinary_net_flow"": -1}",rolling7,pre,-15,1.0
ROLLING7_-5M,pre_5m_change,large_minus_ordinary,3.8880363366886754e-07,2.338361024302124e-06,0.16627185863436322,102,0.8682721580910647,-4.2493243706861045e-06,5.02693163802384e-06,"{""rolling7_signed_log_large_net_flow"": 1, ""rolling7_signed_log_ordinary_net_flow"": -1}",rolling7,pre,-5,1.0
ROLLING7_-1M,pre_1m_change,large_minus_ordinary,-6.726569782444935e-07,8.810101016918488e-07,-0.7635065443094873,102,0.4469237674359078,-2.4201363376373016e-06,1.0748223811483147e-06,"{""rolling7_signed_log_large_net_flow"": 1, ""rolling7_signed_log_ordinary_net_flow"": -1}",rolling7,pre,-1,1.0
ROLLING7_+1M,post_1m_change,large_minus_ordinary,5.794988143167444e-05,4.2877824915807994e-06,13.515116857130911,102,1.814268222581489e-24,4.944508519016201e-05,6.645467767318686e-05,"{""rolling7_signed_log_large_net_flow"": 1, ""rolling7_signed_log_ordinary_net_flow"": -1}",rolling7,post,1,1.2699877558070424e-23
ROLLING7_+5M,post_5m_change,large_minus_ordinary,8.142348962961377e-05,6.919007877914762e-06,11.768087429053923,102,1.0381206272923419e-20,6.769967031027379e-05,9.514730894895376e-05,"{""rolling7_signed_log_large_net_flow"": 1, ""rolling7_signed_log_ordinary_net_flow"": -1}",rolling7,post,5,6.228723763754051e-20
ROLLING7_+15M,post_15m_change,large_minus_ordinary,0.00010520864586913527,1.8947146321896206e-05,5.552743620687156,102,2.24313803738344e-07,6.762707097762537e-05,0.00014279022076064518,"{""rolling7_signed_log_large_net_flow"": 1, ""rolling7_signed_log_ordinary_net_flow"": -1}",rolling7,post,15,1.12156901869172e-06
ROLLING7_+30M,post_30m_change,large_minus_ordinary,0.00012099655410102527,4.979763787392265e-05,2.429764929962413,102,0.01685614981644596,2.2223175493801844e-05,0.0002197699327082487,"{""rolling7_signed_log_large_net_flow"": 1, ""rolling7_signed_log_ordinary_net_flow"": -1}",rolling7,post,30,0.06742459926578384
