model,outcome,rows,markets,events,calendar_hours,within_r_squared,condition_number,signed_horizon_minutes
EXPANDING_-15M,pre_15m_change,421580,252,104,1069,0.5450635654344688,927.5444708112955,-15
EXPANDING_-5M,pre_5m_change,422082,252,104,1070,0.19313619430334705,927.8669259289986,-5
EXPANDING_-1M,pre_1m_change,422340,252,104,1070,0.04033401765854516,928.166055074009,-1
EXPANDING_+1M,post_1m_change,422342,252,104,1070,0.026861811819808068,928.1691304743085,1
EXPANDING_+5M,post_5m_change,422314,252,104,1070,0.027342334339345187,928.138359361914,5
EXPANDING_+15M,post_15m_change,421828,252,104,1070,0.007787760658492848,927.8367277341391,15
EXPANDING_+30M,post_30m_change,421242,252,104,1070,0.003993180738965263,927.4642296230126,30
ROLLING7_-15M,pre_15m_change,369416,236,103,1069,0.5442641311692966,939.2167997820588,-15
ROLLING7_-5M,pre_5m_change,369871,236,103,1070,0.19491671778654684,939.5304663295244,-5
ROLLING7_-1M,pre_1m_change,370105,236,103,1070,0.04097772578685244,939.838067562011,-1
ROLLING7_+1M,post_1m_change,370106,236,103,1070,0.02772943499245184,939.8404494819835,1
ROLLING7_+5M,post_5m_change,370079,236,103,1070,0.028530016921024193,939.8055126728581,5
ROLLING7_+15M,post_15m_change,369641,236,103,1070,0.00786899049818024,939.521248349653,15
ROLLING7_+30M,post_30m_change,369105,236,103,1070,0.004002489025245581,939.1504425866417,30
