model,outcome,contrast,estimate,std_error,t_statistic,cluster_df,p_value,conf_low,conf_high,weights
EXPANDING_SEPARATE_DIRECTIONAL,delta_yes_price,large_minus_ordinary,7.900471053047074e-05,6.3725210245182186e-06,12.397716731965389,103,3.7888030021971195e-22,6.636631807113498e-05,9.16431029898065e-05,"{""expanding_signed_log_large_net_flow"": 1, ""expanding_signed_log_ordinary_net_flow"": -1}"
EXPANDING_SEPARATE_UPDATE_LPM,any_price_update_5m,large_minus_ordinary,0.006332674657706289,0.0009249658032219388,6.846387872554473,103,5.617731870342533e-10,0.0044982231450936,0.008167126170318976,"{""expanding_log_abs_large_net_flow"": 1, ""expanding_log_abs_ordinary_net_flow"": -1}"
EXPANDING_SEPARATE_CONDITIONAL_NONZERO,delta_yes_price,large_minus_ordinary,0.00018952748976570406,2.7153503686498552e-05,6.979853942750754,103,2.9542163306780777e-10,0.00013567491950102856,0.00024338006003037956,"{""expanding_signed_log_large_net_flow"": 1, ""expanding_signed_log_ordinary_net_flow"": -1}"
ROLLING7_SEPARATE_DIRECTIONAL,delta_yes_price,large_minus_ordinary,7.853836462319442e-05,6.50466178284638e-06,12.074165766821277,102,2.236770954917135e-21,6.563639881879887e-05,9.144033042758996e-05,"{""rolling7_signed_log_large_net_flow"": 1, ""rolling7_signed_log_ordinary_net_flow"": -1}"
ROLLING7_SEPARATE_UPDATE_LPM,any_price_update_5m,large_minus_ordinary,0.005933870426115253,0.0009646677914530222,6.151206123693022,102,1.5192741505010638e-08,0.004020456435744434,0.007847284416486073,"{""rolling7_log_abs_large_net_flow"": 1, ""rolling7_log_abs_ordinary_net_flow"": -1}"
ROLLING7_SEPARATE_CONDITIONAL_NONZERO,delta_yes_price,large_minus_ordinary,0.0001735720619209067,2.5009501990376236e-05,6.940244631328444,101,3.8325060425789114e-10,0.0001239599374558762,0.0002231841863859372,"{""rolling7_signed_log_large_net_flow"": 1, ""rolling7_signed_log_ordinary_net_flow"": -1}"
EXPANDING_COMMON_DIRECTIONAL,delta_yes_price,large_minus_ordinary,7.6922577375737e-05,6.3363750034365185e-06,12.139839787578579,102,1.610616670874253e-21,6.435440760036847e-05,8.949074715110554e-05,"{""expanding_signed_log_large_net_flow"": 1, ""expanding_signed_log_ordinary_net_flow"": -1}"
EXPANDING_COMMON_UPDATE_LPM,any_price_update_5m,large_minus_ordinary,0.0059042195574811746,0.0009659971200269709,6.112046749493754,102,1.818559447198151e-08,0.0039881688501869446,0.007820270264775405,"{""expanding_log_abs_large_net_flow"": 1, ""expanding_log_abs_ordinary_net_flow"": -1}"
EXPANDING_COMMON_CONDITIONAL_NONZERO,delta_yes_price,large_minus_ordinary,0.00017652727490804197,2.4150411926549502e-05,7.309493330586985,101,6.441778102965585e-11,0.00012861935403689527,0.00022443519577918867,"{""expanding_signed_log_large_net_flow"": 1, ""expanding_signed_log_ordinary_net_flow"": -1}"
ROLLING7_COMMON_DIRECTIONAL,delta_yes_price,large_minus_ordinary,7.853836462319442e-05,6.50466178284638e-06,12.074165766821277,102,2.236770954917135e-21,6.563639881879887e-05,9.144033042758996e-05,"{""rolling7_signed_log_large_net_flow"": 1, ""rolling7_signed_log_ordinary_net_flow"": -1}"
ROLLING7_COMMON_UPDATE_LPM,any_price_update_5m,large_minus_ordinary,0.005933870426115253,0.0009646677914530222,6.151206123693022,102,1.5192741505010638e-08,0.004020456435744434,0.007847284416486073,"{""rolling7_log_abs_large_net_flow"": 1, ""rolling7_log_abs_ordinary_net_flow"": -1}"
ROLLING7_COMMON_CONDITIONAL_NONZERO,delta_yes_price,large_minus_ordinary,0.0001735720619209067,2.5009501990376236e-05,6.940244631328444,101,3.8325060425789114e-10,0.0001239599374558762,0.0002231841863859372,"{""rolling7_signed_log_large_net_flow"": 1, ""rolling7_signed_log_ordinary_net_flow"": -1}"
