model,outcome,rows,markets,events,calendar_hours,within_r_squared,condition_number
EXPANDING_SEPARATE_DIRECTIONAL,delta_yes_price,422364,252,104,1070,0.02922489332378586,924.5311805176824
EXPANDING_SEPARATE_UPDATE_LPM,any_price_update_5m,422364,252,104,1070,0.042928187372431204,818.601700498101
EXPANDING_SEPARATE_CONDITIONAL_NONZERO,delta_yes_price,17917,244,104,695,0.1476367300349929,816.0794211312709
ROLLING7_SEPARATE_DIRECTIONAL,delta_yes_price,370128,236,103,1070,0.03013256947675924,936.3746807750294
ROLLING7_SEPARATE_UPDATE_LPM,any_price_update_5m,370128,236,103,1070,0.04243050769606327,811.5178085442885
ROLLING7_SEPARATE_CONDITIONAL_NONZERO,delta_yes_price,16166,228,102,678,0.14512225284493696,843.6880126901651
EXPANDING_COMMON_DIRECTIONAL,delta_yes_price,370128,236,103,1070,0.029817606618474102,931.3371263175777
EXPANDING_COMMON_UPDATE_LPM,any_price_update_5m,370128,236,103,1070,0.042399818436233416,823.7768490095684
EXPANDING_COMMON_CONDITIONAL_NONZERO,delta_yes_price,16166,228,102,678,0.14524059604341022,849.9684095139497
ROLLING7_COMMON_DIRECTIONAL,delta_yes_price,370128,236,103,1070,0.03013256947675924,936.3746807750294
ROLLING7_COMMON_UPDATE_LPM,any_price_update_5m,370128,236,103,1070,0.04243050769606327,811.5178085442885
ROLLING7_COMMON_CONDITIONAL_NONZERO,delta_yes_price,16166,228,102,678,0.14512225284493696,843.6880126901651
