model,term,coefficient,predictor_sd,predictor_iqr,one_sd_outcome_change,iqr_outcome_change
EXPANDING_SEPARATE_DIRECTIONAL,expanding_signed_log_large_net_flow,0.00010279211996324866,2.222795863742383,0.0,0.00022848589907961995,0.0
EXPANDING_SEPARATE_DIRECTIONAL,expanding_signed_log_ordinary_net_flow,2.3787409432777915e-05,3.080336234942782,3.498875723361933,7.327321921120554e-05,8.32291893860173e-05
EXPANDING_SEPARATE_UPDATE_LPM,expanding_log_abs_large_net_flow,0.01186802059118508,2.1503804745165036,0.0,0.025520759750444207,0.0
EXPANDING_SEPARATE_UPDATE_LPM,expanding_log_abs_ordinary_net_flow,0.005535345933478791,1.9193029772155243,2.9904707132279467,0.01062400593004369,0.016553289901653737
EXPANDING_SEPARATE_CONDITIONAL_NONZERO,expanding_signed_log_large_net_flow,0.00037028688387089206,4.7473346509291465,0.0,0.0017578757545848628,0.0
EXPANDING_SEPARATE_CONDITIONAL_NONZERO,expanding_signed_log_ordinary_net_flow,0.000180759394105188,4.651310135836023,6.907623625309086,0.0008407680019490392,0.0012486178612175526
ROLLING7_SEPARATE_DIRECTIONAL,rolling7_signed_log_large_net_flow,0.00010298819287490021,2.2469113845405597,0.0,0.00023140534304387224,0.0
ROLLING7_SEPARATE_DIRECTIONAL,rolling7_signed_log_ordinary_net_flow,2.4449828251705795e-05,3.1471853252676354,3.603990554326802,7.694814067908253e-05,8.811695007406027e-05
ROLLING7_SEPARATE_UPDATE_LPM,rolling7_log_abs_large_net_flow,0.011581154899914452,2.174837237308291,0.0,0.025187126927369324,0.0
ROLLING7_SEPARATE_UPDATE_LPM,rolling7_log_abs_ordinary_net_flow,0.0056472844737991985,1.9419277969417443,3.046291333437052,0.010966618696908195,0.01720327374998812
ROLLING7_SEPARATE_CONDITIONAL_NONZERO,rolling7_signed_log_large_net_flow,0.00034872145340774003,4.777068412943142,0.0,0.0016658662399897384,0.0
ROLLING7_SEPARATE_CONDITIONAL_NONZERO,rolling7_signed_log_ordinary_net_flow,0.00017514939148683333,4.78489964559449,7.3043048350384705,0.0008380722612514395,0.0012793445470913227
EXPANDING_COMMON_DIRECTIONAL,expanding_signed_log_large_net_flow,0.00010052374902183406,2.3028017872260134,0.0,0.0002314862689061387,0.0
EXPANDING_COMMON_DIRECTIONAL,expanding_signed_log_ordinary_net_flow,2.360117164609706e-05,3.1267907155468113,3.5915170168052946,7.379592437904295e-05,8.476400958350022e-05
EXPANDING_COMMON_UPDATE_LPM,expanding_log_abs_large_net_flow,0.011415131892025981,2.224204818096813,0.0,0.025389591353454775,0.0
EXPANDING_COMMON_UPDATE_LPM,expanding_log_abs_ordinary_net_flow,0.0055109123345448065,1.929912243608077,3.0270792303233662,0.010635577187888793,0.016681968268033438
EXPANDING_COMMON_CONDITIONAL_NONZERO,expanding_signed_log_large_net_flow,0.0003478058286052136,4.843888449304988,0.0,0.0016847326357817445,0.0
EXPANDING_COMMON_CONDITIONAL_NONZERO,expanding_signed_log_ordinary_net_flow,0.00017127855369717163,4.736979548853222,7.128684880783164,0.0008113430060206605,0.0012209908361434348
ROLLING7_COMMON_DIRECTIONAL,rolling7_signed_log_large_net_flow,0.00010298819287490021,2.2469113845405597,0.0,0.00023140534304387224,0.0
ROLLING7_COMMON_DIRECTIONAL,rolling7_signed_log_ordinary_net_flow,2.4449828251705795e-05,3.1471853252676354,3.603990554326802,7.694814067908253e-05,8.811695007406027e-05
ROLLING7_COMMON_UPDATE_LPM,rolling7_log_abs_large_net_flow,0.011581154899914452,2.174837237308291,0.0,0.025187126927369324,0.0
ROLLING7_COMMON_UPDATE_LPM,rolling7_log_abs_ordinary_net_flow,0.0056472844737991985,1.9419277969417443,3.046291333437052,0.010966618696908195,0.01720327374998812
ROLLING7_COMMON_CONDITIONAL_NONZERO,rolling7_signed_log_large_net_flow,0.00034872145340774003,4.777068412943142,0.0,0.0016658662399897384,0.0
ROLLING7_COMMON_CONDITIONAL_NONZERO,rolling7_signed_log_ordinary_net_flow,0.00017514939148683333,4.78489964559449,7.3043048350384705,0.0008380722612514395,0.0012793445470913227
