model,outcome,contrast,estimate,std_error,t_statistic,cluster_df,p_value,conf_low,conf_high,weights
STRICT0_ALL_EXPANDING_DIRECTIONAL,v5_delta_5m,large_minus_ordinary,8.154817990964033e-05,6.667785470349961e-06,12.230174511802378,103,8.775043392550978e-22,6.832420006167888e-05,9.477215975760177e-05,"{""expanding_signed_log_large_net_flow"": 1, ""expanding_signed_log_ordinary_net_flow"": -1}"
STRICT0_ALL_EXPANDING_UPDATE_LPM,any_price_update_5m,large_minus_ordinary,0.006406283455566477,0.0009817894887192617,6.525109027112761,103,2.5927605237818266e-09,0.004459135564936687,0.008353431346196268,"{""expanding_log_abs_large"": 1, ""expanding_log_abs_ordinary"": -1}"
STRICT0_ALL_EXPANDING_CONDITIONAL_NONZERO,v5_delta_5m,large_minus_ordinary,0.00020960604769525788,2.8500776568060736e-05,7.354397772099723,103,4.767679333389448e-11,0.00015308147943144036,0.0002661306159590754,"{""expanding_signed_log_large_net_flow"": 1, ""expanding_signed_log_ordinary_net_flow"": -1}"
STRICT0_ALL_ROLLING7_DIRECTIONAL,v5_delta_5m,large_minus_ordinary,8.142348962961377e-05,6.919007877914762e-06,11.768087429053923,102,1.0381206272923419e-20,6.769967031027379e-05,9.514730894895376e-05,"{""rolling7_signed_log_large_net_flow"": 1, ""rolling7_signed_log_ordinary_net_flow"": -1}"
STRICT0_ALL_ROLLING7_UPDATE_LPM,any_price_update_5m,large_minus_ordinary,0.00605241493487559,0.0010387884832481794,5.826417054557962,102,6.650144598765911e-08,0.003991982903772636,0.008112846965978544,"{""rolling7_log_abs_large"": 1, ""rolling7_log_abs_ordinary"": -1}"
STRICT0_ALL_ROLLING7_CONDITIONAL_NONZERO,v5_delta_5m,large_minus_ordinary,0.00019409971392353654,2.7284421930714015e-05,7.1139390241227325,101,1.6620739140100316e-10,0.00013997476024377607,0.000248224667603297,"{""rolling7_signed_log_large_net_flow"": 1, ""rolling7_signed_log_ordinary_net_flow"": -1}"
STRICT1_ALL_EXPANDING_DIRECTIONAL,v5_delta_5m,large_minus_ordinary,8.155167323701198e-05,6.667045869757673e-06,12.232055220579445,103,8.692592464285844e-22,6.832916021238663e-05,9.477418626163732e-05,"{""expanding_signed_log_large_net_flow"": 1, ""expanding_signed_log_ordinary_net_flow"": -1}"
STRICT1_ALL_EXPANDING_UPDATE_LPM,any_price_update_5m,large_minus_ordinary,0.006409705901650006,0.0009824250298481147,6.524371536666734,103,2.601798965263329e-09,0.0044612975650868735,0.008358114238213138,"{""expanding_log_abs_large"": 1, ""expanding_log_abs_ordinary"": -1}"
STRICT1_ALL_EXPANDING_CONDITIONAL_NONZERO,v5_delta_5m,large_minus_ordinary,0.0002094122438942798,2.849556281846773e-05,7.348942192451153,103,4.897017372314252e-11,0.00015289801587308957,0.00026592647191547,"{""expanding_signed_log_large_net_flow"": 1, ""expanding_signed_log_ordinary_net_flow"": -1}"
STRICT1_ALL_ROLLING7_DIRECTIONAL,v5_delta_5m,large_minus_ordinary,8.142710789433301e-05,6.918220306450941e-06,11.769950115408404,102,1.0284470408096215e-20,6.770485071925725e-05,9.514936506940878e-05,"{""rolling7_signed_log_large_net_flow"": 1, ""rolling7_signed_log_ordinary_net_flow"": -1}"
STRICT1_ALL_ROLLING7_UPDATE_LPM,any_price_update_5m,large_minus_ordinary,0.006056318714492432,0.0010396264914305127,5.825475557244617,102,6.678325064048685e-08,0.003994224498133241,0.008118412930851623,"{""rolling7_log_abs_large"": 1, ""rolling7_log_abs_ordinary"": -1}"
STRICT1_ALL_ROLLING7_CONDITIONAL_NONZERO,v5_delta_5m,large_minus_ordinary,0.0001938989677409034,2.7283345176037065e-05,7.106861951488437,101,1.7198352408036577e-10,0.0001397761500527781,0.0002480217854290287,"{""rolling7_signed_log_large_net_flow"": 1, ""rolling7_signed_log_ordinary_net_flow"": -1}"
STRICT0_ACTIVE_EXPANDING_DIRECTIONAL,v5_delta_5m,large_minus_ordinary,8.033743286028998e-05,7.142389270628647e-06,11.247977366713727,100,1.857748095351616e-19,6.61671359736825e-05,9.450772974689747e-05,"{""expanding_signed_log_large_net_flow"": 1, ""expanding_signed_log_ordinary_net_flow"": -1}"
