model,outcome,rows,markets,events,calendar_hours,within_r_squared,condition_number
STRICT0_ALL_EXPANDING_DIRECTIONAL,v5_delta_5m,422314,252,104,1070,0.027342334339345187,928.138359361914
STRICT0_ALL_EXPANDING_UPDATE_LPM,any_price_update_5m,422314,252,104,1070,0.044338898895050716,819.3758239571164
STRICT0_ALL_EXPANDING_CONDITIONAL_NONZERO,v5_delta_5m,17994,243,104,689,0.13535880797211253,823.9146074027026
STRICT0_ALL_ROLLING7_DIRECTIONAL,v5_delta_5m,370079,236,103,1070,0.028530016921024193,939.8055126728581
STRICT0_ALL_ROLLING7_UPDATE_LPM,any_price_update_5m,370079,236,103,1070,0.044046265250103134,811.962415816905
STRICT0_ALL_ROLLING7_CONDITIONAL_NONZERO,v5_delta_5m,16223,227,102,673,0.1341081702700362,851.4432129797949
STRICT1_ALL_EXPANDING_DIRECTIONAL,v5_delta_5m,422332,252,104,1070,0.02734404461072193,928.1627800292403
STRICT1_ALL_EXPANDING_UPDATE_LPM,any_price_update_5m,422332,252,104,1070,0.044347283660784,819.4071084777248
STRICT1_ALL_EXPANDING_CONDITIONAL_NONZERO,v5_delta_5m,17995,243,104,689,0.13535174150649054,823.908079972636
STRICT1_ALL_ROLLING7_DIRECTIONAL,v5_delta_5m,370097,236,103,1070,0.0285318880530544,939.8331864743978
STRICT1_ALL_ROLLING7_UPDATE_LPM,any_price_update_5m,370097,236,103,1070,0.044055373904936856,812.0036589803515
STRICT1_ALL_ROLLING7_CONDITIONAL_NONZERO,v5_delta_5m,16224,227,102,673,0.13410077119251662,851.4350554284641
STRICT0_ACTIVE_EXPANDING_DIRECTIONAL,v5_delta_5m,336261,147,101,1070,0.027566072106799955,906.576012359778
STRICT0_ACTIVE_EXPANDING_UPDATE_LPM,any_price_update_5m,336261,147,101,1070,0.046013331199530993,823.9322702313195
STRICT0_ACTIVE_EXPANDING_CONDITIONAL_NONZERO,v5_delta_5m,13637,147,101,667,0.12779277389118138,806.8751360657046
STRICT0_ACTIVE_ROLLING7_DIRECTIONAL,v5_delta_5m,306550,144,100,1070,0.02906129240557509,919.4586943410706
STRICT0_ACTIVE_ROLLING7_UPDATE_LPM,any_price_update_5m,306550,144,100,1070,0.045595284028268845,812.3483058836837
STRICT0_ACTIVE_ROLLING7_CONDITIONAL_NONZERO,v5_delta_5m,13037,143,99,652,0.12923541829101648,832.0663116686059
