covariance,term,estimate,std_error,t_value,p_value,conf_low,conf_high
market,p99_signed_log_large_net_flow,9.085893576672844e-05,1.369684508298839e-05,6.63356672403166,2.9424035652425573e-08,6.330443760300036e-05,0.00011841343393045653
market,p99_signed_log_ordinary_net_flow,1.6576406816173805e-05,3.0563657125735783e-06,5.4235678498748205,1.98280083152369e-06,1.0427792087414993e-05,2.2725021544932617e-05
market,yes_price_t,0.0009049965248271524,0.0006156930215061949,1.4698827065040019,0.1482563835313584,-0.0003336180705575519,0.0021436111202118567
market,lagged_30m_price_change,0.005637050084139487,0.007828199553299674,0.7200953483312018,0.475032341447682,-0.010111256106794721,0.021385356275073698
market,log_lagged_30m_volume,-1.4540605471897546e-06,2.8511977110856064e-06,-0.5099823633893542,0.612450478011064,-7.189930495234245e-06,4.281809400854736e-06
date,p99_signed_log_large_net_flow,9.085893576672844e-05,1.2620575008915737e-05,7.199270691116818,3.2607530009443053e-09,6.549694075047924e-05,0.00011622093078297765
date,p99_signed_log_ordinary_net_flow,1.6576406816173805e-05,3.124273743553297e-06,5.3056832329042765,2.6904168153318864e-06,1.029794366711603e-05,2.285486996523158e-05
date,yes_price_t,0.0009049965248271524,0.0013434389477598651,0.6736417209998271,0.5037044645869986,-0.001794745117186035,0.00360473816684034
date,lagged_30m_price_change,0.005637050084139487,0.01980310365895627,0.28465487941785533,0.7771081669235738,-0.034158776647202474,0.04543287681548144
date,log_lagged_30m_volume,-1.4540605471897546e-06,2.4722713809013595e-06,-0.5881476274904829,0.5591344083517886,-6.422275893712437e-06,3.514154799332928e-06
market_date_two_way,p99_signed_log_large_net_flow,9.085893576672844e-05,1.481159433546829e-05,6.134311655373581,1.685063528711339e-07,6.106185136913657e-05,0.00012065602016432032
market_date_two_way,p99_signed_log_ordinary_net_flow,1.6576406816173805e-05,3.821406855516965e-06,4.3377759665245925,7.568655347722775e-05,8.888727825485656e-06,2.426408580686195e-05
market_date_two_way,yes_price_t,0.0009049965248271524,0.00108748414140543,0.8321928480332261,0.40950868417907116,-0.0012827393804767807,0.003092732430131085
market_date_two_way,lagged_30m_price_change,0.005637050084139487,0.01600733524791591,0.3521541841183971,0.7262968087295145,-0.02656555475094746,0.03783965491922643
market_date_two_way,log_lagged_30m_volume,-1.4540605471897546e-06,,,,,
