model,outcome,term,estimate,std_error,t_statistic,cluster_df,p_value,conf_low,conf_high
EXECUTED_60S_EXPANDING,executed_delta_5m,expanding_signed_log_large_net_flow,9.371952082362078e-05,8.558302675039697e-06,10.950713521380111,103,5.717987428323261e-19,7.674614598809578e-05,0.00011069289565914577
EXECUTED_60S_EXPANDING,executed_delta_5m,expanding_signed_log_ordinary_net_flow,2.068792045140922e-06,4.625865762617752e-06,0.4472226716691848,103,0.6556533476501393,-7.105521660393987e-06,1.1243105750675832e-05
EXECUTED_60S_EXPANDING,executed_delta_5m,v5_lagged_30m_price_change,0.01925024106382778,0.00584535605877534,3.2932538018669297,103,0.001357859318266487,0.007657355979024364,0.030843126148631196
EXECUTED_60S_EXPANDING,executed_delta_5m,v5_baseline_price,-0.004564167913542055,0.0024216313767284623,-1.8847492468932592,103,0.06228266372357832,-0.009366902594865997,0.00023856676778188663
EXECUTED_60S_EXPANDING,executed_delta_5m,log_lagged_30m_volume,6.812305284861834e-05,1.1508927943753002e-05,5.919148436896354,103,4.287880704146435e-08,4.529780871299171e-05,9.094829698424497e-05
EXECUTED_60S_EXPANDING,executed_delta_5m,log_minutes_to_kickoff,0.00019309989126350952,2.4955642379717288e-05,7.7377247327623015,103,7.176298382493362e-12,0.0001436062605220273,0.00024259352200499174
EXECUTED_60S_ROLLING7,executed_delta_5m,rolling7_signed_log_large_net_flow,9.07834635907117e-05,8.927119959223767e-06,10.1694011064466,102,3.433636733316422e-17,7.307656347896931e-05,0.0001084903637024541
EXECUTED_60S_ROLLING7,executed_delta_5m,rolling7_signed_log_ordinary_net_flow,3.429358604521143e-06,4.509926748585115e-06,0.7604022849366733,102,0.4487683086370603,-5.516059717763335e-06,1.237477692680562e-05
EXECUTED_60S_ROLLING7,executed_delta_5m,v5_lagged_30m_price_change,0.021069352056639484,0.007895291033447037,2.668597264797816,102,0.008862456353567198,0.005409079726823269,0.0367296243864557
EXECUTED_60S_ROLLING7,executed_delta_5m,v5_baseline_price,-0.0050865156282479795,0.002803825043856449,-1.814134458707831,102,0.07259679050769216,-0.010647889308577104,0.00047485805208114483
EXECUTED_60S_ROLLING7,executed_delta_5m,log_lagged_30m_volume,6.543925570086118e-05,1.1405579400721859e-05,5.7374775451319495,102,9.901922474639228e-08,4.281634303836693e-05,8.806216836335543e-05
EXECUTED_60S_ROLLING7,executed_delta_5m,log_minutes_to_kickoff,0.00019453248507992032,2.7871982158343747e-05,6.979499483558802,102,3.064353825210187e-10,0.00013924854062209632,0.00024981642953774433
EXECUTED_300S_EXPANDING,executed_delta_5m,expanding_signed_log_large_net_flow,9.441600653172928e-05,8.456908602980386e-06,11.16436406779366,103,1.9249708446465259e-19,7.764372292381211e-05,0.00011118829013964646
