model,outcome,term,estimate,std_error,t_statistic,cluster_df,p_value,conf_low,conf_high
EXPANDING_CONDITIONAL_INITIAL_UPDATE,delta_5_to_15,expanding_signed_log_large_net_flow,9.142077425604527e-05,5.094035221741856e-05,1.7946631751946314,103,0.07564065282405115,-9.607399818892002e-06,0.00019244894833098255
EXPANDING_CONDITIONAL_INITIAL_UPDATE,delta_5_to_15,expanding_signed_log_ordinary_net_flow,-1.7044216436898777e-05,3.2677268894274386e-05,-0.5215924406670722,103,0.6030739096934765,-8.185187218403414e-05,4.776343931023658e-05
EXPANDING_CONDITIONAL_INITIAL_UPDATE,delta_5_to_15,v5_lagged_30m_price_change,-0.026882832012638073,0.04584896110511475,-0.5863345943871151,103,0.5589334673892699,-0.11781343264752495,0.06404776862224881
EXPANDING_CONDITIONAL_INITIAL_UPDATE,delta_5_to_15,v5_baseline_price,-0.023496785946616625,0.03626842354915652,-0.6478579339068924,103,0.518518368900921,-0.09542664995911602,0.048433078065882776
EXPANDING_CONDITIONAL_INITIAL_UPDATE,delta_5_to_15,log_lagged_30m_volume,-0.00031739174638433377,0.0001221885751167838,-2.597556654384268,103,0.01076308385647435,-0.0005597239663144093,-7.50595264542583e-05
EXPANDING_CONDITIONAL_INITIAL_UPDATE,delta_5_to_15,log_minutes_to_kickoff,-0.0013446347649563608,0.0006508155939212067,-2.066076439341055,103,0.041330741489090335,-0.0026353739972397316,-5.3895532672989686e-05
ROLLING7_CONDITIONAL_INITIAL_UPDATE,delta_5_to_15,rolling7_signed_log_large_net_flow,8.16936419787604e-05,5.606553425459694e-05,1.457109845913261,101,0.14818815746232783,-2.952529651935307e-05,0.00019291258047687387
ROLLING7_CONDITIONAL_INITIAL_UPDATE,delta_5_to_15,rolling7_signed_log_ordinary_net_flow,-3.522773449789832e-06,3.571130387604958e-05,-0.09864589268476537,101,0.9216149466212912,-7.436439410467809e-05,6.731884720509842e-05
ROLLING7_CONDITIONAL_INITIAL_UPDATE,delta_5_to_15,v5_lagged_30m_price_change,-0.011362256858250847,0.05001114451788246,-0.22719449770216815,101,0.8207317471469506,-0.11057091473166757,0.08784640101516587
ROLLING7_CONDITIONAL_INITIAL_UPDATE,delta_5_to_15,v5_baseline_price,-0.026225509595531056,0.04181322030364815,-0.6272061660183326,101,0.5319394333313575,-0.1091716910452907,0.0567206718542286
ROLLING7_CONDITIONAL_INITIAL_UPDATE,delta_5_to_15,log_lagged_30m_volume,-0.0003183253175783297,0.0001453436417298209,-2.1901564718604214,101,0.03081375204697347,-0.0006066480057602475,-3.0002629396411835e-05
ROLLING7_CONDITIONAL_INITIAL_UPDATE,delta_5_to_15,log_minutes_to_kickoff,-0.0016375736482600754,0.0007594258780907396,-2.1563311120988833,101,0.033431509516769334,-0.0031440703070754602,-0.00013107698944469083
