market_id,market_subtype,trade_count,volume_usdc,first_trade_time,last_trade_time,yes_outcome_won,event_id,stage,market_role,median_baseline_price,mean_baseline_price,sample_minutes,sample_gross_volume_usdc,median_minutes_to_kickoff,expanding_included,rolling7_included
1897034,Match winner,38310,6544657.899066478,2026-06-01 00:00:16.000 UTC,2026-06-11 23:32:33.000 UTC,1.0,1,Group stage,home_win,0.685,0.6886673948661933,7324,3286035.4561074143,4452.5,1,1
1897035,Match draw,5542,355107.0220159937,2026-06-01 02:54:52.000 UTC,2026-06-11 23:06:52.000 UTC,0.0,1,Group stage,draw,0.205,0.20553648068669528,1864,200910.32039955686,1538.5,1,1
1897036,Match winner,9387,1155067.9671009812,2026-06-01 00:00:51.000 UTC,2026-06-11 23:07:00.000 UTC,0.0,1,Group stage,away_win,0.105,0.10583450210378681,2852,622520.2279341096,2272.5,1,1
1897037,Match winner,33875,6015805.916145123,2026-06-01 00:03:24.000 UTC,2026-06-12 06:23:34.000 UTC,1.0,2,Group stage,home_win,0.365,0.363045,4000,2164371.1050948733,2582.5,1,1
1897038,Match draw,10434,826707.1062269866,2026-06-01 00:11:42.000 UTC,2026-06-12 05:58:22.000 UTC,0.0,2,Group stage,draw,0.315,0.31397746478873245,1775,233996.06442794143,1151.0,1,1
1897039,Match winner,10758,994577.7620769812,2026-06-01 01:01:58.000 UTC,2026-06-12 05:58:30.000 UTC,0.0,2,Group stage,away_win,0.335,0.32913667425968113,2195,439665.42993362725,1466.0,1,1
1897040,Match winner,35493,5621547.95746057,2026-06-01 00:33:17.000 UTC,2026-06-12 22:59:06.000 UTC,0.0,3,Group stage,home_win,0.535,0.5315968750000001,3200,3173290.4973749863,1860.0,1,1
1897041,Match draw,10722,999554.8682729756,2026-06-01 01:24:41.000 UTC,2026-06-12 23:25:39.000 UTC,1.0,3,Group stage,draw,0.275,0.27074548192771086,1328,169371.9827152704,713.5,0,0
1897042,Match winner,16429,2561290.5694041355,2026-06-01 01:07:27.000 UTC,2026-06-12 22:54:51.000 UTC,0.0,3,Group stage,away_win,0.205,0.20297004132231405,1936,685339.8579886642,1206.5,1,1
1897043,Match winner,52047,15612246.530931696,2026-06-01 00:16:01.000 UTC,2026-06-13 05:49:45.000 UTC,1.0,4,Group stage,home_win,0.495,0.48658680704770085,4654,9217714.371394163,2821.0,1,1
1897044,Match draw,6550,1765877.832040992,2026-06-01 02:16:32.000 UTC,2026-06-13 05:04:07.000 UTC,0.0,4,Group stage,draw,0.295,0.28803039158386906,1711,1365297.98679059,995.0,1,1
1897045,Match winner,10851,1934345.6175379732,2026-06-01 00:44:35.000 UTC,2026-06-13 05:04:10.000 UTC,0.0,4,Group stage,away_win,0.235,0.23361535594483784,2683,1064843.3001366179,1500.0,1,1
1897046,Match winner,11236,1645126.5875589666,2026-06-01 02:49:40.000 UTC,2026-06-13 22:58:06.000 UTC,0.0,5,Group stage,home_win,0.0615,0.06152849740932642,2702,961322.3184443916,1716.5,1,1
1897047,Match draw,7188,959899.0551749844,2026-06-01 02:28:26.000 UTC,2026-06-13 23:33:24.000 UTC,1.0,5,Group stage,draw,0.135,0.1339217081850534,1405,172868.08501660445,865.0,0,0
1897048,Match winner,20792,4408081.431157366,2026-06-01 00:20:43.000 UTC,2026-06-13 23:07:01.000 UTC,0.0,5,Group stage,away_win,0.805,0.8055738447598914,3311,2504337.8979403754,1883.0,1,1
1897049,Match winner,47492,7580884.478509896,2026-06-01 00:03:32.000 UTC,2026-06-14 02:05:21.000 UTC,0.0,6,Group stage,home_win,0.585,0.5885109770403888,5967,3178257.8489139997,3267.0,1,1
1897050,Match draw,13466,2359898.4522960815,2026-06-01 04:13:35.000 UTC,2026-06-14 02:33:00.000 UTC,1.0,6,Group stage,draw,0.255,0.25026771653543306,1905,596532.3412910927,1048.0,0,0
1897051,Match winner,21804,2085014.9787219365,2026-06-01 00:01:09.000 UTC,2026-06-14 02:00:40.000 UTC,0.0,6,Group stage,away_win,0.175,0.16968218442256044,3351,706719.6262490659,2046.0,1,1
1897052,Match winner,7039,1636757.465347975,2026-06-01 00:01:16.000 UTC,2026-06-14 05:03:57.000 UTC,0.0,7,Group stage,home_win,0.155,0.15385822784810127,1975,1009950.5604059742,2093.0,1,1
1897053,Match draw,5582,684776.2128639867,2026-06-01 04:13:56.000 UTC,2026-06-14 04:50:57.000 UTC,0.0,7,Group stage,draw,0.215,0.21453551912568306,915,446721.21349723154,812.0,1,1
