specification,group,variable,markets,mean,median,p25,p75,included_markets,excluded_markets,standardised_mean_difference
expanding,included,trade_count,252,18878.404761904763,15362.5,9856.0,25896.0,252,60,1.107360169931222
expanding,included,volume_usdc,252,4757533.552724238,3037503.9785992,1628163.1770374572,6829547.519787801,252,60,1.0689417115606428
expanding,included,median_baseline_price,252,0.3671398809523809,0.289375,0.1925,0.5475000000000001,252,60,0.9742579596818377
expanding,included,mean_baseline_price,252,0.366878509653374,0.2873054658105565,0.19303631674497246,0.5528460315505233,252,60,0.9792856221205678
expanding,included,sample_minutes,252,2619.404761904762,2290.5,1768.5,3219.5,252,60,1.3920370370472135
expanding,included,sample_gross_volume_usdc,252,2331530.1602671905,1292685.0213502392,598491.3687961019,3293492.1795657985,252,60,1.003081794122249
expanding,included,median_minutes_to_kickoff,252,1736.7460317460318,1526.75,1175.375,2072.125,252,60,1.4586995365784188
expanding,excluded,trade_count,60,9309.2,9579.0,6921.5,11382.0,252,60,1.107360169931222
expanding,excluded,volume_usdc,60,1604181.920794656,1548327.3309684666,957878.847188984,2144894.308327999,252,60,1.0689417115606428
expanding,excluded,median_baseline_price,60,0.19539583333333332,0.205,0.1325,0.265,252,60,0.9742579596818377
expanding,excluded,mean_baseline_price,60,0.1957627833118938,0.2027157118717539,0.13272602764228655,0.26150900308011893,252,60,0.9792856221205678
expanding,excluded,sample_minutes,60,1473.1833333333334,1474.0,1324.0,1640.0,252,60,1.3920370370472135
expanding,excluded,sample_gross_volume_usdc,60,532429.4710564516,423190.8089320224,216327.0212149677,670639.5587543962,252,60,1.003081794122249
expanding,excluded,median_minutes_to_kickoff,60,936.4166666666666,941.75,863.625,1015.625,252,60,1.4586995365784188
rolling7,included,trade_count,236,19624.76694915254,16319.0,10526.5,27113.0,236,76,1.2275550016953582
rolling7,included,volume_usdc,236,4968717.452905202,3342381.5058052638,1695253.7690324737,7303215.548098948,236,76,1.1259609924845124
rolling7,included,median_baseline_price,236,0.3755900423728813,0.295625,0.20249999999999999,0.565,236,76,0.897292218463528
rolling7,included,mean_baseline_price,236,0.37525244699498256,0.2957744954941217,0.2024285799427845,0.5580948696222279,236,76,0.9023373856629057
rolling7,included,sample_minutes,236,2683.8389830508477,2429.5,1863.0,3279.0,236,76,1.4059909338509087
rolling7,included,sample_gross_volume_usdc,236,2440858.302291688,1385719.4312715577,620823.7448608789,3396612.9356570095,236,76,1.0246509154663654
rolling7,included,median_minutes_to_kickoff,236,1776.7648305084747,1613.5,1187.375,2108.5,236,76,1.4222043376968747
rolling7,excluded,trade_count,76,9006.118421052632,9074.0,6643.25,11373.0,236,76,1.2275550016953582
rolling7,excluded,volume_usdc,76,1612263.8374810456,1548327.3309684666,989640.9149984778,2028207.5690934802,236,76,1.1259609924845124
rolling7,excluded,median_baseline_price,76,0.20531249999999998,0.195,0.125,0.265,236,76,0.897292218463528
rolling7,excluded,mean_baseline_price,76,0.2057838676387893,0.19565407460774897,0.12744697478392453,0.26469352824529035,236,76,0.9023373856629057
rolling7,excluded,sample_minutes,76,1514.407894736842,1522.5,1345.75,1683.75,236,76,1.4059909338509087
rolling7,excluded,sample_gross_volume_usdc,76,571694.8593405351,496562.95436983905,254440.91427027556,689006.63806511,236,76,1.0246509154663654
rolling7,excluded,median_minutes_to_kickoff,76,980.6381578947369,967.25,885.0,1064.875,236,76,1.4222043376968747
