sample,gap,rows,mean_seconds,p0,p25,p50,p75,p90,p95,p99,maximum,share_below_60_seconds,share_at_most_60_seconds
all_aligned_rows,baseline_before_t,748481,54.91144330985021,1.0,55.0,56.0,56.0,57.0,57.0,57.0,3052.0,0.9999719431755782,0.9999719431755782
all_aligned_rows,outcome_after_t_plus_1,748481,5.107675411934304,2.0,4.0,4.0,5.0,7.0,16.0,19.0,280.0,0.9999585827829965,0.9999599188222547
all_aligned_rows,outcome_after_t_plus_5,748481,5.119507375604725,0.0,4.0,4.0,5.0,7.0,16.0,19.0,280.0,0.9998824285452804,0.9998824285452804
all_aligned_rows,outcome_after_t_plus_15,748481,6.80993505513166,0.0,4.0,4.0,5.0,7.0,16.0,19.0,3014.0,0.9987481312150877,0.9987481312150877
expanding_eligible,baseline_before_t,422364,54.90697360570503,4.0,55.0,56.0,56.0,57.0,57.0,57.0,3052.0,0.9999810589917701,0.9999810589917701
expanding_eligible,outcome_after_t_plus_1,422364,5.1169133732988605,2.0,4.0,4.0,5.0,7.0,16.0,19.0,280.0,0.9999668532355978,0.9999692208616264
expanding_eligible,outcome_after_t_plus_5,422364,5.12671060980576,2.0,4.0,4.0,5.0,7.0,16.0,19.0,280.0,0.9999005597067931,0.9999005597067931
expanding_eligible,outcome_after_t_plus_15,422364,6.846476025418833,1.0,4.0,4.0,5.0,7.0,16.0,19.0,3014.0,0.9987498934568287,0.9987498934568287
rolling7_eligible,baseline_before_t,370128,54.88470475078891,4.0,55.0,56.0,56.0,57.0,57.0,57.0,3052.0,0.999978385855704,0.999978385855704
rolling7_eligible,outcome_after_t_plus_1,370128,5.144568905892016,2.0,4.0,4.0,5.0,7.0,16.0,19.0,280.0,0.999962175247482,0.999964877015519
rolling7_eligible,outcome_after_t_plus_5,370128,5.152468875632214,2.0,4.0,4.0,5.0,7.0,16.0,19.0,280.0,0.9998892275104828,0.9998892275104828
rolling7_eligible,outcome_after_t_plus_15,370128,6.94986058876929,1.0,4.0,4.0,5.0,7.0,16.0,19.0,3014.0,0.9987058531102754,0.9987058531102754
expanding_strict0,baseline_before_t,422314,54.884910280028606,4.0,55.0,56.0,56.0,57.0,57.0,57.0,58.0,1.0,1.0
expanding_strict0,outcome_after_t_plus_1,422314,5.116877489261545,2.0,4.0,4.0,5.0,7.0,16.0,19.0,280.0,0.9999668493111761,0.9999692172175206
expanding_strict0,outcome_after_t_plus_5,422314,5.109904005076791,2.0,4.0,4.0,5.0,7.0,16.0,19.0,56.0,1.0,1.0
expanding_strict0,outcome_after_t_plus_15,422314,6.820493755830969,1.0,4.0,4.0,5.0,7.0,16.0,19.0,3014.0,0.9987592170754462,0.9987592170754462
rolling7_strict0,baseline_before_t,370079,54.8595299922449,4.0,55.0,56.0,56.0,57.0,57.0,57.0,58.0,1.0,1.0
rolling7_strict0,outcome_after_t_plus_1,370079,5.144525898524369,2.0,4.0,4.0,5.0,7.0,16.0,19.0,280.0,0.9999621702393273,0.9999648723650896
rolling7_strict0,outcome_after_t_plus_5,370079,5.133987608051254,2.0,4.0,4.0,5.0,7.0,16.0,19.0,56.0,1.0,1.0
rolling7_strict0,outcome_after_t_plus_15,370079,6.920217034741231,1.0,4.0,4.0,5.0,7.0,16.0,19.0,3014.0,0.9987164902628898,0.9987164902628898
