model,outcome,term,estimate,std_error,t_statistic,cluster_df,p_value,conf_low,conf_high
EXPANDING_P95_SIGNED_LOG,v5_delta_5m,focal_large,6.322735282610368e-05,5.287312059650178e-06,11.958316837135383,103,3.444866224816222e-21,5.274121639597119e-05,7.371348925623618e-05
EXPANDING_P95_SIGNED_LOG,v5_delta_5m,focal_ordinary,1.5274912146410314e-05,3.182167348411751e-06,4.800159914290543,103,5.385924327579255e-06,8.963833741636466e-06,2.1585990551184162e-05
EXPANDING_P95_SIGNED_LOG,v5_delta_5m,v5_lagged_30m_price_change,0.02174995325264612,0.005961748562653162,3.648250680831585,103,0.00041634832399307925,0.009926231088181414,0.03357367541711083
EXPANDING_P95_SIGNED_LOG,v5_delta_5m,v5_baseline_price,-0.0038854551196538826,0.0012611945958928557,-3.080773682591937,103,0.002648059644959406,-0.006386737141270232,-0.0013841730980375332
EXPANDING_P95_SIGNED_LOG,v5_delta_5m,log_lagged_30m_volume,-1.1324472127017598e-05,4.108683483008062e-06,-2.7562288927466105,103,0.006916918097652449,-1.9473076761090405e-05,-3.1758674929447888e-06
EXPANDING_P95_SIGNED_LOG,v5_delta_5m,log_minutes_to_kickoff,8.330961645426948e-05,1.5092377079953791e-05,5.519979789328491,103,2.5470091366555773e-07,5.3377446132196406e-05,0.00011324178677634254
EXPANDING_P95_ASINH,v5_delta_5m,focal_large,5.6248175514582076e-05,4.729900627440554e-06,11.89204170342562,103,4.812069120797546e-21,4.686753319183775e-05,6.56288178373264e-05
EXPANDING_P95_ASINH,v5_delta_5m,focal_ordinary,1.3432248528643093e-05,2.668830201625315e-06,5.033009788506915,103,2.0575647586880625e-06,8.139253281271092e-06,1.8725243776015095e-05
EXPANDING_P95_ASINH,v5_delta_5m,v5_lagged_30m_price_change,0.021735976531910114,0.00596509083880113,3.6438634581260847,103,0.0004226824508984136,0.00990562575099921,0.03356632731282102
EXPANDING_P95_ASINH,v5_delta_5m,v5_baseline_price,-0.0038705134801328236,0.0012623183056057771,-3.066194527120791,103,0.002769128489776084,-0.006374024114931944,-0.0013670028453337032
EXPANDING_P95_ASINH,v5_delta_5m,log_lagged_30m_volume,-1.1259999556753995e-05,4.1110991096983655e-06,-2.738926806748804,103,0.007264985822607462,-1.941339501662884e-05,-3.1066040968791487e-06
EXPANDING_P95_ASINH,v5_delta_5m,log_minutes_to_kickoff,8.121704054646218e-05,1.4979244180728846e-05,5.421971867642683,103,3.9088404737444667e-07,5.1509242647016206e-05,0.00011092483844590814
EXPANDING_P95_RAW_SCALED_WINSOR,v5_delta_5m,focal_large,0.00018509023515346582,1.574448922120542e-05,11.755874233390664,103,9.57200620482542e-21,0.00015386475420327696,0.0002163157161036547
EXPANDING_P95_RAW_SCALED_WINSOR,v5_delta_5m,focal_ordinary,-0.0001546288785989259,7.639187732897656e-05,-2.0241534048577816,103,0.045543148052169385,-0.0003061341498574174,-3.1236073404344042e-06
EXPANDING_P95_RAW_SCALED_WINSOR,v5_delta_5m,v5_lagged_30m_price_change,0.02109244978596828,0.005840457104761284,3.611438181571986,103,0.0004724078796280252,0.009509280621007834,0.03267561895092873
EXPANDING_P95_RAW_SCALED_WINSOR,v5_delta_5m,v5_baseline_price,-0.004295262355610058,0.001212847454542307,-3.541469571893494,103,0.000599197099970434,-0.006700659225283571,-0.001889865485936546
EXPANDING_P95_RAW_SCALED_WINSOR,v5_delta_5m,log_lagged_30m_volume,-7.711828015318567e-06,4.172479217182404e-06,-1.848260378041192,103,0.06743361516651826,-1.5986956441568847e-05,5.633004109317157e-07
EXPANDING_P95_RAW_SCALED_WINSOR,v5_delta_5m,log_minutes_to_kickoff,7.858098512767236e-05,1.6334058507432812e-05,4.810867127230755,103,5.155671013206783e-06,4.6186232551249024e-05,0.0001109757377040957
EXPANDING_P975_SIGNED_LOG,v5_delta_5m,focal_large,7.567182800716003e-05,6.382825748893472e-06,11.855537184338537,103,5.785558417154686e-21,6.301299855704282e-05,8.833065745727724e-05
EXPANDING_P975_SIGNED_LOG,v5_delta_5m,focal_ordinary,1.4921909217943524e-05,3.216655712072131e-06,4.638951306458287,103,1.0328394364075787e-05,8.542431278110135e-06,2.1301387157776912e-05
EXPANDING_P975_SIGNED_LOG,v5_delta_5m,v5_lagged_30m_price_change,0.021813757961600858,0.005928464057584331,3.6794956922601805,103,0.0003737713283709505,0.010056047762615693,0.033571468160586024
EXPANDING_P975_SIGNED_LOG,v5_delta_5m,v5_baseline_price,-0.003978332457338685,0.001248772423351415,-3.185794611528789,103,0.0019107694778968604,-0.006454978029553406,-0.001501686885123965
EXPANDING_P975_SIGNED_LOG,v5_delta_5m,log_lagged_30m_volume,-1.0021513234387075e-05,4.057638594641685e-06,-2.4697895094996842,103,0.015162331412842586,-1.8068882371588885e-05,-1.9741440971852644e-06
EXPANDING_P975_SIGNED_LOG,v5_delta_5m,log_minutes_to_kickoff,8.262049127054969e-05,1.515971827971824e-05,5.4500017576900035,103,3.4595187017113756e-07,5.2554765561517756e-05,0.00011268621697958163
EXPANDING_P975_ASINH,v5_delta_5m,focal_large,6.818869269802808e-05,5.784016543124164e-06,11.789159347942809,103,8.08989421240565e-21,5.671746007527341e-05,7.965992532078274e-05
EXPANDING_P975_ASINH,v5_delta_5m,focal_ordinary,1.3115905495450089e-05,2.7283051944089587e-06,4.80734542540481,103,5.230327598441665e-06,7.704955627379627e-06,1.852685536352055e-05
EXPANDING_P975_ASINH,v5_delta_5m,v5_lagged_30m_price_change,0.021809045274018356,0.005931205981453835,3.677000148403648,103,0.0003770141314211598,0.010045897115735105,0.033572193432301604
EXPANDING_P975_ASINH,v5_delta_5m,v5_baseline_price,-0.003965014731932852,0.0012497936446204854,-3.1725355213635096,103,0.0019919569350724687,-0.0064436856556744,-0.001486343808191304
EXPANDING_P975_ASINH,v5_delta_5m,log_lagged_30m_volume,-9.965344476987591e-06,4.061214588406281e-06,-2.45378427070465,103,0.015813986876547014,-1.801980575440466e-05,-1.9108831995705228e-06
EXPANDING_P975_ASINH,v5_delta_5m,log_minutes_to_kickoff,8.092703259720313e-05,1.5058242227118253e-05,5.374268216476313,103,4.80826704493949e-07,5.1062560704845896e-05,0.00011079150448956036
EXPANDING_P975_RAW_SCALED_WINSOR,v5_delta_5m,focal_large,0.00018703942047257398,1.5652671909661947e-05,11.949360566174002,103,3.603966075987612e-21,0.00015599603750423877,0.00021808280344090918
EXPANDING_P975_RAW_SCALED_WINSOR,v5_delta_5m,focal_ordinary,-6.327103664850825e-05,4.415632710129203e-05,-1.4328872168957394,103,0.1549183298936305,-0.0001508446969533892,2.430262365637269e-05
EXPANDING_P975_RAW_SCALED_WINSOR,v5_delta_5m,v5_lagged_30m_price_change,0.02102729151678606,0.005857340012737246,3.58990454217453,103,0.0005084369064425993,0.009410639085777377,0.03264394394779474
EXPANDING_P975_RAW_SCALED_WINSOR,v5_delta_5m,v5_baseline_price,-0.004305838178915267,0.0012180355266887268,-3.5350678076039723,103,0.0006122793650612154,-0.006721524366057272,-0.001890151991773263
EXPANDING_P975_RAW_SCALED_WINSOR,v5_delta_5m,log_lagged_30m_volume,-7.640451495898089e-06,4.161049059502736e-06,-1.8361839494416239,103,0.06921485071760036,-1.5892910900253178e-05,6.120079084570011e-07
EXPANDING_P975_RAW_SCALED_WINSOR,v5_delta_5m,log_minutes_to_kickoff,7.810618832339568e-05,1.571705977567473e-05,4.969516527784701,103,2.6815431488919197e-06,4.6935107209038844e-05,0.00010927726943775252
EXPANDING_P99_SIGNED_LOG,v5_delta_5m,focal_large,0.00010079441877012555,8.453518140986644e-06,11.923369310752012,103,4.108648309178105e-21,8.402885934391477e-05,0.00011755997819633633
EXPANDING_P99_SIGNED_LOG,v5_delta_5m,focal_ordinary,1.9246238860481977e-05,3.1516101691824975e-06,6.106795519534161,103,1.8204350213288965e-08,1.2995763413638922e-05,2.549671430732503e-05
EXPANDING_P99_SIGNED_LOG,v5_delta_5m,v5_lagged_30m_price_change,0.021452049706228306,0.005824366591632638,3.6831558193892886,103,0.00036906303598877125,0.009900792279026911,0.0330033071334297
EXPANDING_P99_SIGNED_LOG,v5_delta_5m,v5_baseline_price,-0.003986022138706456,0.0012328494082286545,-3.2331784499402336,103,0.0016451509348050881,-0.00643108816595152,-0.0015409561114613913
EXPANDING_P99_SIGNED_LOG,v5_delta_5m,log_lagged_30m_volume,-8.468046209585042e-06,4.048307296384806e-06,-2.091749857316198,103,0.03891998684629993,-1.64969089175298e-05,-4.3918350164028506e-07
EXPANDING_P99_SIGNED_LOG,v5_delta_5m,log_minutes_to_kickoff,7.995490019724876e-05,1.4873454609013096e-05,5.37567783000442,103,4.778995352860172e-07,5.045691096227758e-05,0.00010945288943221994
EXPANDING_P99_ASINH,v5_delta_5m,focal_large,9.214879491449641e-05,7.771450557318343e-06,11.85734815332773,103,5.732906810974235e-21,7.673595567128724e-05,0.00010756163415770558
