model,outcome,rows,markets,events,calendar_hours,within_r_squared,condition_number
EXPANDING_P95_SIGNED_LOG,v5_delta_5m,422314,252,104,1070,0.02023173115833332,987.7903152883965
EXPANDING_P95_ASINH,v5_delta_5m,422314,252,104,1070,0.019542007596618727,1086.8634849408606
EXPANDING_P95_RAW_SCALED_WINSOR,v5_delta_5m,422314,252,104,1070,0.02689874562276362,542.9945064592424
EXPANDING_P975_SIGNED_LOG,v5_delta_5m,422314,252,104,1070,0.022784188014673523,908.2731873229227
EXPANDING_P975_ASINH,v5_delta_5m,422314,252,104,1070,0.022186337337536388,1007.5709635887071
EXPANDING_P975_RAW_SCALED_WINSOR,v5_delta_5m,422314,252,104,1070,0.026749719179185005,541.9623875153438
EXPANDING_P99_SIGNED_LOG,v5_delta_5m,422314,252,104,1070,0.027342334339345298,928.1383593618809
EXPANDING_P99_ASINH,v5_delta_5m,422314,252,104,1070,0.026837626984798302,1050.2566367115592
EXPANDING_P99_RAW_SCALED_WINSOR,v5_delta_5m,422314,252,104,1070,0.0261309753836384,541.2826891191376
EXPANDING_P995_SIGNED_LOG,v5_delta_5m,422314,252,104,1070,0.031001380608342566,966.4050627464826
EXPANDING_P995_ASINH,v5_delta_5m,422314,252,104,1070,0.030532322991063565,1091.0134372763698
EXPANDING_P995_RAW_SCALED_WINSOR,v5_delta_5m,422314,252,104,1070,0.02644802859283435,541.4122781936229
ROLLING7_P95_SIGNED_LOG,v5_delta_5m,370079,236,103,1070,0.021365313807952813,1002.338009755058
ROLLING7_P95_ASINH,v5_delta_5m,370079,236,103,1070,0.02067784116873539,1101.5840547889968
ROLLING7_P95_RAW_SCALED_WINSOR,v5_delta_5m,370079,236,103,1070,0.028012922206721025,506.3026497089144
ROLLING7_P975_SIGNED_LOG,v5_delta_5m,370079,236,103,1070,0.02371499273291222,917.4101115030295
ROLLING7_P975_ASINH,v5_delta_5m,370079,236,103,1070,0.023109639856111697,1016.8745749667534
ROLLING7_P975_RAW_SCALED_WINSOR,v5_delta_5m,370079,236,103,1070,0.027761217344696387,502.699875491006
ROLLING7_P99_SIGNED_LOG,v5_delta_5m,370079,236,103,1070,0.028530016921024304,939.8055126728417
ROLLING7_P99_ASINH,v5_delta_5m,370079,236,103,1070,0.02800756085312417,1061.9689916685152
ROLLING7_P99_RAW_SCALED_WINSOR,v5_delta_5m,370079,236,103,1070,0.027418288195953044,499.57148043243757
ROLLING7_P995_SIGNED_LOG,v5_delta_5m,370079,236,103,1070,0.03176626833467788,978.933598644354
ROLLING7_P995_ASINH,v5_delta_5m,370079,236,103,1070,0.03128188916039609,1103.3346751839206
ROLLING7_P995_RAW_SCALED_WINSOR,v5_delta_5m,370079,236,103,1070,0.027904747646447348,498.4236348856875
