model,specification,percentile,transformation,term,predictor_sd,one_sd_price_change,effect_for_positive_1000_usdc
EXPANDING_P95_SIGNED_LOG,expanding,p95,signed_log,focal_large,3.142580012566734,0.00019869701523881825,0.00043682227602079353
EXPANDING_P95_SIGNED_LOG,expanding,p95,signed_log,focal_ordinary,2.555961862777654,3.904209290350392e-05,0.00010553062229513236
EXPANDING_P95_ASINH,expanding,p95,asinh,focal_large,3.458560366395547,0.00019453771051679403,0.0004275369096755802
EXPANDING_P95_ASINH,expanding,p95,asinh,focal_ordinary,2.9432508216247233,3.9534476518196265e-05,0.00010209721423660467
EXPANDING_P95_RAW_SCALED_WINSOR,expanding,p95,raw_scaled_winsor,focal_large,1.320237472539309,0.00024436306425071807,0.00018509023515346582
EXPANDING_P95_RAW_SCALED_WINSOR,expanding,p95,raw_scaled_winsor,focal_ordinary,0.26237293761095676,-4.057043311748819e-05,-0.0001546288785989259
EXPANDING_P975_SIGNED_LOG,expanding,p975,signed_log,focal_large,2.7619785403481845,0.00020900396506469472,0.0005227981034039862
EXPANDING_P975_SIGNED_LOG,expanding,p975,signed_log,focal_ordinary,2.8174020864580274,4.2041018164571355e-05,0.00010309181162597516
EXPANDING_P975_ASINH,expanding,p975,asinh,focal_large,3.018130881084866,0.00020580239917272468,0.0005182956190885676
EXPANDING_P975_ASINH,expanding,p975,asinh,focal_ordinary,3.21450006428841,4.2161079058325016e-05,9.969272161846323e-05
EXPANDING_P975_RAW_SCALED_WINSOR,expanding,p975,raw_scaled_winsor,focal_large,1.2819080003948942,0.00023976732949301715,0.00018703942047257398
EXPANDING_P975_RAW_SCALED_WINSOR,expanding,p975,raw_scaled_winsor,focal_ordinary,0.38532780843019265,-2.4380089888876087e-05,-6.327103664850825e-05
EXPANDING_P99_SIGNED_LOG,expanding,p99,signed_log,focal_large,2.2227542075670006,0.00022404121842056684,0.0006963639224064046
EXPANDING_P99_SIGNED_LOG,expanding,p99,signed_log,focal_ordinary,3.0803887638807077,5.928589793279292e-05,0.00013296754471119718
EXPANDING_P99_ASINH,expanding,p99,asinh,focal_large,2.4087120479346646,0.00022195991251320807,0.0007004140249466247
EXPANDING_P99_ASINH,expanding,p99,asinh,focal_ordinary,3.4861745052247146,5.832190527649e-05,0.00012715919044710858
EXPANDING_P99_RAW_SCALED_WINSOR,expanding,p99,raw_scaled_winsor,focal_large,1.2363217221630678,0.00022417643474804288,0.0001813253223083583
EXPANDING_P99_RAW_SCALED_WINSOR,expanding,p99,raw_scaled_winsor,focal_ordinary,0.5917118624672522,2.6544896142515153e-05,4.486118637512402e-05
EXPANDING_P995_SIGNED_LOG,expanding,p995,signed_log,focal_large,1.8502541956765461,0.00023419826664363742,0.0008744843804501907
EXPANDING_P995_SIGNED_LOG,expanding,p995,signed_log,focal_ordinary,3.2152345461775025,7.614799408688761e-05,0.0001636234652643
EXPANDING_P995_ASINH,expanding,p995,asinh,focal_large,1.9948790189192396,0.00023272216274091228,0.000886719696067686
EXPANDING_P995_ASINH,expanding,p995,asinh,focal_ordinary,3.623934912092569,7.439019263947152e-05,0.00015602725504532084
EXPANDING_P995_RAW_SCALED_WINSOR,expanding,p995,raw_scaled_winsor,focal_large,1.1836266604936494,0.0002167585077432348,0.0001831308088758599
EXPANDING_P995_RAW_SCALED_WINSOR,expanding,p995,raw_scaled_winsor,focal_ordinary,0.7885609838509144,5.387672894705528e-05,6.832284382616784e-05
ROLLING7_P95_SIGNED_LOG,rolling7,p95,signed_log,focal_large,3.2059367097739355,0.0002031195879716991,0.00043772025189822526
ROLLING7_P95_SIGNED_LOG,rolling7,p95,signed_log,focal_ordinary,2.6195076502834285,3.828108628102438e-05,0.00010096349127775578
ROLLING7_P95_ASINH,rolling7,p95,asinh,focal_large,3.522939031519444,0.00019900669655705037,0.00042936608483544686
ROLLING7_P95_ASINH,rolling7,p95,asinh,focal_ordinary,3.00514389940429,3.8632828116443534e-05,9.771391245715545e-05
ROLLING7_P95_RAW_SCALED_WINSOR,rolling7,p95,raw_scaled_winsor,focal_large,1.43812561291833,0.0002481772821514741,0.0001725699618462799
ROLLING7_P95_RAW_SCALED_WINSOR,rolling7,p95,raw_scaled_winsor,focal_ordinary,0.2940009224637901,-3.4566832582898005e-05,-0.0001175738915824502
ROLLING7_P975_SIGNED_LOG,rolling7,p975,signed_log,focal_large,2.806093542724504,0.0002115187650266574,0.000520770692973382
ROLLING7_P975_SIGNED_LOG,rolling7,p975,signed_log,focal_ordinary,2.884185513358474,4.412732644235914e-05,0.00010570224281518332
ROLLING7_P975_ASINH,rolling7,p975,asinh,focal_large,3.0619753973314987,0.0002083321688130956,0.0005171539091386048
ROLLING7_P975_ASINH,rolling7,p975,asinh,focal_ordinary,3.279762065671173,4.3891925620118364e-05,0.00010172026192537269
ROLLING7_P975_RAW_SCALED_WINSOR,rolling7,p975,raw_scaled_winsor,focal_large,1.3956613281160948,0.0002417562923143462,0.0001732198832511008
ROLLING7_P975_RAW_SCALED_WINSOR,rolling7,p975,raw_scaled_winsor,focal_ordinary,0.42941810432153305,-1.2394071478836083e-05,-2.8862480072698197e-05
ROLLING7_P99_SIGNED_LOG,rolling7,p99,signed_log,focal_large,2.2468644786905143,0.00022738808219180295,0.0006991825784337071
ROLLING7_P99_SIGNED_LOG,rolling7,p99,signed_log,focal_ordinary,3.147247757439102,6.224913757405076e-05,0.00013664765530658907
ROLLING7_P99_ASINH,rolling7,p99,asinh,focal_large,2.431794710039048,0.0002252899213881732,0.0007041740681656349
ROLLING7_P99_ASINH,rolling7,p99,asinh,focal_ordinary,3.55135851544374,6.099379718413182e-05,0.000130543823234415
ROLLING7_P99_RAW_SCALED_WINSOR,rolling7,p99,raw_scaled_winsor,focal_large,1.338230788616078,0.0002274665414698663,0.00016997557028642214
ROLLING7_P99_RAW_SCALED_WINSOR,rolling7,p99,raw_scaled_winsor,focal_ordinary,0.6618101061572582,3.326218606010634e-05,5.0259410895430834e-05
ROLLING7_P995_SIGNED_LOG,rolling7,p995,signed_log,focal_large,1.867289241265414,0.00023596073456759472,0.0008730274971058362
ROLLING7_P995_SIGNED_LOG,rolling7,p995,signed_log,focal_ordinary,3.2802584016012033,7.81415530461329e-05,0.0001645787502006124
ROLLING7_P995_ASINH,rolling7,p995,asinh,focal_large,2.0110838858343674,0.000234471652464741,0.0008861869119848433
ROLLING7_P995_ASINH,rolling7,p995,asinh,focal_ordinary,3.6873179610673392,7.610067511631208e-05,0.00015687115507720314
ROLLING7_P995_RAW_SCALED_WINSOR,rolling7,p995,raw_scaled_winsor,focal_large,1.2664750089394823,0.00021797084090643902,0.000172108284307136
ROLLING7_P995_RAW_SCALED_WINSOR,rolling7,p995,raw_scaled_winsor,focal_ordinary,0.868009852193809,6.751633599654596e-05,7.778291435967587e-05
