specification,event_id,large_action,dynamic_high_activity,actions,any_next,same_next,any_next_action_5m,same_direction_given_next_5m
expanding,12,0,0.0,4586,238,147,0.051897078063672046,0.6176470588235294
expanding,12,0,1.0,406,266,142,0.6551724137931034,0.5338345864661654
expanding,12,1,0.0,39,4,4,0.10256410256410256,1.0
expanding,12,1,1.0,35,5,5,0.14285714285714285,1.0
expanding,13,0,0.0,10660,775,431,0.07270168855534709,0.5561290322580645
expanding,13,0,1.0,1873,1179,824,0.6294714361986119,0.6988973706530959
expanding,13,1,0.0,110,13,12,0.11818181818181818,0.9230769230769231
expanding,13,1,1.0,84,25,17,0.2976190476190476,0.68
expanding,14,0,0.0,15309,761,444,0.049709321314259584,0.5834428383705651
expanding,14,0,1.0,1997,1314,909,0.657986980470706,0.6917808219178082
expanding,14,1,0.0,61,2,2,0.03278688524590164,1.0
expanding,14,1,1.0,84,28,23,0.3333333333333333,0.8214285714285714
expanding,15,0,0.0,12587,657,373,0.05219671089219036,0.5677321156773212
expanding,15,0,1.0,1618,993,726,0.6137206427688504,0.7311178247734139
expanding,15,1,0.0,53,1,1,0.018867924528301886,1.0
expanding,15,1,1.0,68,16,13,0.23529411764705882,0.8125
expanding,16,0,0.0,13292,770,407,0.05792958170328017,0.5285714285714286
expanding,16,0,1.0,2000,1204,871,0.602,0.723421926910299
expanding,16,1,0.0,46,2,2,0.043478260869565216,1.0
expanding,16,1,1.0,65,15,13,0.23076923076923078,0.8666666666666667
expanding,17,0,0.0,25186,1227,562,0.048717541491304694,0.4580277098614507
expanding,17,0,1.0,3227,2113,1340,0.65478772854044,0.6341694273544723
expanding,17,1,0.0,125,13,11,0.104,0.8461538461538461
expanding,17,1,1.0,95,19,16,0.2,0.8421052631578947
expanding,18,0,0.0,12851,502,288,0.03906310792934402,0.5737051792828686
expanding,18,0,1.0,1664,912,727,0.5480769230769231,0.7971491228070176
expanding,18,1,0.0,43,1,1,0.023255813953488372,1.0
