specification,event_id,market_id,large_action,dynamic_high_activity,actions,any_next,same_next,source_transaction_actions,any_next_action_5m,same_direction_given_next_5m
expanding,12,1897067,0,0.0,3282,172,116,3803,0.05240706886045095,0.6744186046511628
expanding,12,1897067,0,1.0,220,142,71,4233,0.6454545454545455,0.5
expanding,12,1897067,1,0.0,28,4,4,37,0.14285714285714285,1.0
expanding,12,1897067,1,1.0,20,5,5,101,0.25,1.0
rolling_7d,12,1897067,0,0.0,3284,172,116,3805,0.05237515225334957,0.6744186046511628
rolling_7d,12,1897067,0,1.0,218,142,71,4231,0.6513761467889908,0.5
rolling_7d,12,1897067,1,0.0,28,4,4,37,0.14285714285714285,1.0
rolling_7d,12,1897067,1,1.0,20,5,5,101,0.25,1.0
expanding,12,1897068,0,0.0,586,28,14,647,0.04778156996587031,0.5
expanding,12,1897068,0,1.0,93,57,40,293,0.6129032258064516,0.7017543859649122
expanding,12,1897068,1,0.0,6,0,0,7,0.0,
expanding,12,1897068,1,1.0,3,0,0,15,0.0,
rolling_7d,12,1897068,0,0.0,586,28,14,647,0.04778156996587031,0.5
rolling_7d,12,1897068,0,1.0,93,57,40,293,0.6129032258064516,0.7017543859649122
rolling_7d,12,1897068,1,0.0,6,0,0,7,0.0,
rolling_7d,12,1897068,1,1.0,3,0,0,15,0.0,
expanding,12,1897069,0,0.0,718,38,17,819,0.052924791086350974,0.4473684210526316
expanding,12,1897069,0,1.0,93,67,31,575,0.7204301075268817,0.4626865671641791
expanding,12,1897069,1,0.0,5,0,0,6,0.0,
expanding,12,1897069,1,1.0,12,0,0,23,0.0,
rolling_7d,12,1897069,0,0.0,719,38,17,820,0.05285118219749652,0.4473684210526316
rolling_7d,12,1897069,0,1.0,92,67,31,574,0.7282608695652174,0.4626865671641791
rolling_7d,12,1897069,1,0.0,5,0,0,6,0.0,
rolling_7d,12,1897069,1,1.0,12,0,0,23,0.0,
expanding,13,1897070,0,0.0,6908,403,201,7459,0.058338158656629995,0.4987593052109181
expanding,13,1897070,0,1.0,862,575,372,2191,0.6670533642691415,0.6469565217391304
expanding,13,1897070,1,0.0,86,10,9,101,0.11627906976744186,0.9
expanding,13,1897070,1,1.0,29,11,7,618,0.3793103448275862,0.6363636363636364
rolling_7d,13,1897070,0,0.0,6908,403,201,7459,0.058338158656629995,0.4987593052109181
rolling_7d,13,1897070,0,1.0,862,575,372,2191,0.6670533642691415,0.6469565217391304
rolling_7d,13,1897070,1,0.0,86,10,9,101,0.11627906976744186,0.9
rolling_7d,13,1897070,1,1.0,29,11,7,618,0.3793103448275862,0.6363636363636364
expanding,13,1897071,0,0.0,1474,68,37,1657,0.04613297150610583,0.5441176470588235
expanding,13,1897071,0,1.0,440,279,208,836,0.634090909090909,0.7455197132616488
expanding,13,1897071,1,0.0,3,1,1,3,0.3333333333333333,1.0
expanding,13,1897071,1,1.0,20,5,5,53,0.25,1.0
rolling_7d,13,1897071,0,0.0,1475,68,37,1658,0.04610169491525424,0.5441176470588235
rolling_7d,13,1897071,0,1.0,439,279,208,835,0.6355353075170843,0.7455197132616488
