classification_family,specification,event_id,large_action,dynamic_high_activity,actions,any_next,same_next,any_next_action_5m,same_direction_given_next_5m
whale_volume,expanding_top1_primary,12,0,0,4403,201,115,0.04565069270951624,0.572139303482587
whale_volume,expanding_top1_primary,12,0,1,589,303,174,0.5144312393887945,0.5742574257425742
whale_volume,expanding_top1_primary,12,1,0,19,1,1,0.05263157894736842,1.0
whale_volume,expanding_top1_primary,12,1,1,55,8,8,0.14545454545454545,1.0
whale_volume,expanding_top1_primary,13,0,0,9815,528,260,0.05379521141110545,0.49242424242424243
whale_volume,expanding_top1_primary,13,0,1,2718,1426,995,0.5246504782928624,0.6977559607293128
whale_volume,expanding_top1_primary,13,1,0,74,10,9,0.13513513513513514,0.9
whale_volume,expanding_top1_primary,13,1,1,120,28,20,0.23333333333333334,0.7142857142857143
whale_volume,expanding_top1_primary,14,0,0,14804,650,373,0.04390705214806809,0.5738461538461539
whale_volume,expanding_top1_primary,14,0,1,2502,1425,980,0.5695443645083933,0.6877192982456141
whale_volume,expanding_top1_primary,14,1,0,31,2,2,0.06451612903225806,1.0
whale_volume,expanding_top1_primary,14,1,1,114,28,23,0.24561403508771928,0.8214285714285714
whale_volume,expanding_top1_primary,15,0,0,12111,542,318,0.04475270415324911,0.5867158671586716
whale_volume,expanding_top1_primary,15,0,1,2094,1108,781,0.5291308500477555,0.7048736462093863
whale_volume,expanding_top1_primary,15,1,0,38,1,1,0.02631578947368421,1.0
whale_volume,expanding_top1_primary,15,1,1,83,16,13,0.1927710843373494,0.8125
whale_volume,expanding_top1_primary,16,0,0,12768,640,349,0.05012531328320802,0.5453125
whale_volume,expanding_top1_primary,16,0,1,2524,1334,929,0.528526148969889,0.6964017991004497
whale_volume,expanding_top1_primary,16,1,0,27,0,0,0.0,
whale_volume,expanding_top1_primary,16,1,1,84,17,15,0.20238095238095238,0.8823529411764706
whale_volume,expanding_top1_primary,17,0,0,24580,1153,501,0.04690805532953621,0.43451864700780574
whale_volume,expanding_top1_primary,17,0,1,3833,2187,1401,0.5705713540307853,0.6406035665294925
whale_volume,expanding_top1_primary,17,1,0,81,9,7,0.1111111111111111,0.7777777777777778
whale_volume,expanding_top1_primary,17,1,1,139,23,20,0.16546762589928057,0.8695652173913043
whale_volume,expanding_top1_primary,18,0,0,12564,479,268,0.03812480101878383,0.5594989561586639
whale_volume,expanding_top1_primary,18,0,1,1951,935,747,0.47924141465914916,0.7989304812834225
whale_volume,expanding_top1_primary,18,1,0,28,0,0,0.0,
whale_volume,expanding_top1_primary,18,1,1,54,5,3,0.09259259259259259,0.6
whale_volume,expanding_top1_primary,19,0,0,18484,796,378,0.04306427180264012,0.4748743718592965
whale_volume,expanding_top1_primary,19,0,1,3421,1889,1263,0.5521777258111663,0.6686077289571202
whale_volume,expanding_top1_primary,19,1,0,38,1,1,0.02631578947368421,1.0
whale_volume,expanding_top1_primary,19,1,1,94,21,13,0.22340425531914893,0.6190476190476191
whale_volume,expanding_top1_primary,20,0,0,9155,323,153,0.03528126706717641,0.47368421052631576
whale_volume,expanding_top1_primary,20,0,1,1627,626,422,0.3847572218807621,0.6741214057507987
whale_volume,expanding_top1_primary,20,1,0,22,0,0,0.0,
whale_volume,expanding_top1_primary,20,1,1,55,3,1,0.05454545454545454,0.3333333333333333
whale_volume,expanding_top1_primary,21,0,0,19705,1008,412,0.05115452930728242,0.4087301587301587
whale_volume,expanding_top1_primary,21,0,1,2662,1345,850,0.505259203606311,0.6319702602230484
whale_volume,expanding_top1_primary,21,1,0,79,4,3,0.05063291139240506,0.75
whale_volume,expanding_top1_primary,21,1,1,126,20,8,0.15873015873015872,0.4
whale_volume,expanding_top1_primary,22,0,0,21259,1015,538,0.04774448468883767,0.5300492610837438
whale_volume,expanding_top1_primary,22,0,1,2953,1517,1093,0.5137148662377243,0.7205009887936717
whale_volume,expanding_top1_primary,22,1,0,50,3,2,0.06,0.6666666666666666
whale_volume,expanding_top1_primary,22,1,1,96,11,6,0.11458333333333333,0.5454545454545454
whale_volume,expanding_top1_primary,23,0,0,12391,541,254,0.043660721491405055,0.46950092421441775
whale_volume,expanding_top1_primary,23,0,1,2122,1043,750,0.49151743638077283,0.7190795781399808
whale_volume,expanding_top1_primary,23,1,0,28,2,1,0.07142857142857142,0.5
whale_volume,expanding_top1_primary,23,1,1,80,10,7,0.125,0.7
whale_volume,expanding_top1_primary,24,0,0,11775,499,231,0.04237791932059448,0.46292585170340683
whale_volume,expanding_top1_primary,24,0,1,1724,588,437,0.34106728538283065,0.7431972789115646
whale_volume,expanding_top1_primary,24,1,0,11,0,0,0.0,
whale_volume,expanding_top1_primary,24,1,1,89,21,19,0.23595505617977527,0.9047619047619048
whale_volume,expanding_top1_primary,25,0,0,17499,935,480,0.05343162466426653,0.5133689839572193
whale_volume,expanding_top1_primary,25,0,1,2552,1254,838,0.49137931034482757,0.6682615629984051
whale_volume,expanding_top1_primary,25,1,0,65,18,18,0.27692307692307694,1.0
whale_volume,expanding_top1_primary,25,1,1,115,22,14,0.19130434782608696,0.6363636363636364
whale_volume,expanding_top1_primary,26,0,0,13279,460,231,0.034641162738157996,0.5021739130434782
whale_volume,expanding_top1_primary,26,0,1,2029,1076,831,0.5303104977821587,0.7723048327137546
whale_volume,expanding_top1_primary,26,1,0,23,2,2,0.08695652173913043,1.0
whale_volume,expanding_top1_primary,26,1,1,68,9,6,0.1323529411764706,0.6666666666666666
whale_volume,expanding_top1_primary,27,0,0,13014,641,341,0.049254648839711083,0.53198127925117
whale_volume,expanding_top1_primary,27,0,1,2371,1134,907,0.4782792070856179,0.7998236331569665
whale_volume,expanding_top1_primary,27,1,0,15,3,3,0.2,1.0
whale_volume,expanding_top1_primary,27,1,1,79,11,9,0.13924050632911392,0.8181818181818182
whale_volume,expanding_top1_primary,28,0,0,19847,907,441,0.045699601954955406,0.4862183020948181
whale_volume,expanding_top1_primary,28,0,1,3453,1678,1219,0.4859542426875181,0.7264600715137068
whale_volume,expanding_top1_primary,28,1,0,37,3,3,0.08108108108108109,1.0
whale_volume,expanding_top1_primary,28,1,1,167,32,29,0.19161676646706588,0.90625
whale_volume,expanding_top1_primary,29,0,0,21056,1213,584,0.057608282674772034,0.4814509480626546
whale_volume,expanding_top1_primary,29,0,1,3924,1955,1326,0.49821610601427113,0.6782608695652174
whale_volume,expanding_top1_primary,29,1,0,53,8,5,0.1509433962264151,0.625
whale_volume,expanding_top1_primary,29,1,1,207,17,14,0.0821256038647343,0.8235294117647058
whale_volume,expanding_top1_primary,30,0,0,17248,585,320,0.03391697588126159,0.5470085470085471
whale_volume,expanding_top1_primary,30,0,1,2619,1193,947,0.4555173730431462,0.7937971500419112
whale_volume,expanding_top1_primary,30,1,0,30,1,1,0.03333333333333333,1.0
whale_volume,expanding_top1_primary,30,1,1,91,8,8,0.08791208791208792,1.0
whale_volume,expanding_top1_primary,31,0,0,11813,511,274,0.043257428257004994,0.5362035225048923
whale_volume,expanding_top1_primary,31,0,1,2563,900,708,0.351150994927819,0.7866666666666666
whale_volume,expanding_top1_primary,31,1,0,18,0,0,0.0,
whale_volume,expanding_top1_primary,31,1,1,111,21,17,0.1891891891891892,0.8095238095238095
whale_volume,expanding_top1_primary,32,0,0,13931,550,279,0.0394802957433063,0.5072727272727273
whale_volume,expanding_top1_primary,32,0,1,2178,851,573,0.3907254361799816,0.6733254994124559
whale_volume,expanding_top1_primary,32,1,0,26,5,4,0.19230769230769232,0.8
whale_volume,expanding_top1_primary,32,1,1,109,18,18,0.1651376146788991,1.0
whale_volume,expanding_top1_primary,33,0,0,17616,656,312,0.03723887375113533,0.47560975609756095
whale_volume,expanding_top1_primary,33,0,1,3030,1496,938,0.49372937293729374,0.6270053475935828
whale_volume,expanding_top1_primary,33,1,0,14,2,2,0.14285714285714285,1.0
whale_volume,expanding_top1_primary,33,1,1,114,18,13,0.15789473684210525,0.7222222222222222
whale_volume,expanding_top1_primary,34,0,0,22811,854,522,0.037438078120205165,0.6112412177985949
whale_volume,expanding_top1_primary,34,0,1,3655,1667,1085,0.4560875512995896,0.650869826034793
whale_volume,expanding_top1_primary,34,1,0,51,6,6,0.11764705882352941,1.0
whale_volume,expanding_top1_primary,34,1,1,242,71,65,0.29338842975206614,0.9154929577464789
whale_volume,expanding_top1_primary,35,0,0,11064,440,226,0.03976861894432393,0.5136363636363637
whale_volume,expanding_top1_primary,35,0,1,2449,807,626,0.3295222539812168,0.7757125154894672
whale_volume,expanding_top1_primary,35,1,0,15,0,0,0.0,
whale_volume,expanding_top1_primary,35,1,1,123,30,20,0.24390243902439024,0.6666666666666666
whale_volume,expanding_top1_primary,36,0,0,17935,713,356,0.039754669640367994,0.4992987377279102
whale_volume,expanding_top1_primary,36,0,1,3177,1398,929,0.4400377714825307,0.6645207439198856
whale_volume,expanding_top1_primary,36,1,0,51,5,5,0.09803921568627451,1.0
whale_volume,expanding_top1_primary,36,1,1,150,31,26,0.20666666666666667,0.8387096774193549
whale_volume,expanding_top1_primary,37,0,0,14277,967,295,0.06773131610282272,0.3050672182006205
whale_volume,expanding_top1_primary,37,0,1,2900,1179,874,0.40655172413793106,0.741306191687871
whale_volume,expanding_top1_primary,37,1,0,25,0,0,0.0,
whale_volume,expanding_top1_primary,37,1,1,104,13,10,0.125,0.7692307692307693
whale_volume,expanding_top1_primary,38,0,0,16867,644,305,0.03818106361534357,0.47360248447204967
whale_volume,expanding_top1_primary,38,0,1,2581,1098,830,0.4254165052305308,0.75591985428051
whale_volume,expanding_top1_primary,38,1,0,29,2,2,0.06896551724137931,1.0
whale_volume,expanding_top1_primary,38,1,1,76,6,5,0.07894736842105263,0.8333333333333334
whale_volume,expanding_top1_primary,39,0,0,14290,403,200,0.02820153953813856,0.49627791563275436
whale_volume,expanding_top1_primary,39,0,1,2368,1008,738,0.42567567567567566,0.7321428571428571
whale_volume,expanding_top1_primary,39,1,0,15,0,0,0.0,
whale_volume,expanding_top1_primary,39,1,1,75,17,15,0.22666666666666666,0.8823529411764706
whale_volume,expanding_top1_primary,40,0,0,12585,447,233,0.035518474374255066,0.5212527964205816
whale_volume,expanding_top1_primary,40,0,1,1991,716,531,0.35961828227021597,0.7416201117318436
whale_volume,expanding_top1_primary,40,1,0,20,0,0,0.0,
whale_volume,expanding_top1_primary,40,1,1,92,10,7,0.10869565217391304,0.7
whale_volume,expanding_top1_primary,41,0,0,26934,1002,515,0.03720204945422143,0.5139720558882236
whale_volume,expanding_top1_primary,41,0,1,4880,2230,1536,0.4569672131147541,0.6887892376681615
whale_volume,expanding_top1_primary,41,1,0,38,2,2,0.05263157894736842,1.0
whale_volume,expanding_top1_primary,41,1,1,240,36,33,0.15,0.9166666666666666
whale_volume,expanding_top1_primary,42,0,0,12600,1267,277,0.10055555555555555,0.21862667719021311
whale_volume,expanding_top1_primary,42,0,1,2876,947,674,0.3292767732962448,0.7117212249208026
whale_volume,expanding_top1_primary,42,1,0,18,0,0,0.0,
whale_volume,expanding_top1_primary,42,1,1,120,12,11,0.1,0.9166666666666666
whale_volume,expanding_top1_primary,43,0,0,19094,696,385,0.036451241227610766,0.5531609195402298
whale_volume,expanding_top1_primary,43,0,1,3327,1449,1042,0.43552750225428316,0.7191166321601105
whale_volume,expanding_top1_primary,43,1,0,17,2,1,0.11764705882352941,0.5
whale_volume,expanding_top1_primary,43,1,1,130,22,20,0.16923076923076924,0.9090909090909091
whale_volume,expanding_top1_primary,44,0,0,11400,461,228,0.04043859649122807,0.4945770065075922
whale_volume,expanding_top1_primary,44,0,1,2092,697,426,0.3331739961759082,0.6111908177905309
whale_volume,expanding_top1_primary,44,1,0,23,1,1,0.043478260869565216,1.0
whale_volume,expanding_top1_primary,44,1,1,99,7,6,0.0707070707070707,0.8571428571428571
whale_volume,expanding_top1_primary,45,0,0,15024,772,330,0.05138445154419595,0.4274611398963731
whale_volume,expanding_top1_primary,45,0,1,3014,1339,916,0.4442601194426012,0.6840926064227035
whale_volume,expanding_top1_primary,45,1,0,19,1,1,0.05263157894736842,1.0
whale_volume,expanding_top1_primary,45,1,1,124,14,12,0.11290322580645161,0.8571428571428571
whale_volume,expanding_top1_primary,46,0,0,15132,1087,241,0.0718345228654507,0.22171113155473782
whale_volume,expanding_top1_primary,46,0,1,2723,1082,881,0.39735585751009916,0.8142329020332717
whale_volume,expanding_top1_primary,46,1,0,22,0,0,0.0,
whale_volume,expanding_top1_primary,46,1,1,119,12,7,0.10084033613445378,0.5833333333333334
whale_volume,expanding_top1_primary,47,0,0,14054,426,194,0.030311655044827097,0.45539906103286387
whale_volume,expanding_top1_primary,47,0,1,2426,945,718,0.3895300906842539,0.7597883597883598
whale_volume,expanding_top1_primary,47,1,0,39,7,7,0.1794871794871795,1.0
whale_volume,expanding_top1_primary,47,1,1,105,16,12,0.1523809523809524,0.75
whale_volume,expanding_top1_primary,48,0,0,13908,466,204,0.03350589588725913,0.43776824034334766
whale_volume,expanding_top1_primary,48,0,1,1980,704,488,0.35555555555555557,0.6931818181818182
whale_volume,expanding_top1_primary,48,1,0,13,0,0,0.0,
whale_volume,expanding_top1_primary,48,1,1,63,6,3,0.09523809523809523,0.5
whale_volume,expanding_top1_primary,49,0,0,16747,753,426,0.04496327700483669,0.5657370517928287
whale_volume,expanding_top1_primary,49,0,1,2812,1304,800,0.46372688477951635,0.6134969325153374
whale_volume,expanding_top1_primary,49,1,0,33,5,2,0.15151515151515152,0.4
whale_volume,expanding_top1_primary,49,1,1,97,9,5,0.09278350515463918,0.5555555555555556
whale_volume,expanding_top1_primary,50,0,0,10189,417,236,0.04092648935126116,0.565947242206235
whale_volume,expanding_top1_primary,50,0,1,1786,653,502,0.36562150055991044,0.7687595712098009
whale_volume,expanding_top1_primary,50,1,0,8,0,0,0.0,
whale_volume,expanding_top1_primary,50,1,1,52,7,5,0.1346153846153846,0.7142857142857143
whale_volume,expanding_top1_primary,51,0,0,9330,366,179,0.03922829581993569,0.4890710382513661
whale_volume,expanding_top1_primary,51,0,1,1733,495,385,0.2856318522792845,0.7777777777777778
whale_volume,expanding_top1_primary,51,1,0,12,0,0,0.0,
whale_volume,expanding_top1_primary,51,1,1,84,9,7,0.10714285714285714,0.7777777777777778
whale_volume,expanding_top1_primary,52,0,0,12566,330,175,0.02626134012414452,0.5303030303030303
whale_volume,expanding_top1_primary,52,0,1,2342,928,741,0.3962425277540564,0.7984913793103449
whale_volume,expanding_top1_primary,52,1,0,16,0,0,0.0,
whale_volume,expanding_top1_primary,52,1,1,93,12,11,0.12903225806451613,0.9166666666666666
whale_volume,expanding_top1_primary,53,0,0,12926,548,351,0.04239517252050132,0.6405109489051095
whale_volume,expanding_top1_primary,53,0,1,2513,1035,718,0.411858336649423,0.693719806763285
whale_volume,expanding_top1_primary,53,1,0,23,3,3,0.13043478260869565,1.0
whale_volume,expanding_top1_primary,53,1,1,118,21,17,0.17796610169491525,0.8095238095238095
whale_volume,expanding_top1_primary,54,0,0,14622,558,251,0.038161674189577346,0.449820788530466
whale_volume,expanding_top1_primary,54,0,1,3211,1468,1114,0.4571784490812831,0.7588555858310627
whale_volume,expanding_top1_primary,54,1,0,27,4,4,0.14814814814814814,1.0
whale_volume,expanding_top1_primary,54,1,1,156,34,32,0.21794871794871795,0.9411764705882353
whale_volume,expanding_top1_primary,55,0,0,9156,1084,192,0.1183923110528615,0.17712177121771217
whale_volume,expanding_top1_primary,55,0,1,2195,653,501,0.29749430523917997,0.7672281776416539
whale_volume,expanding_top1_primary,55,1,0,6,0,0,0.0,
whale_volume,expanding_top1_primary,55,1,1,103,17,15,0.1650485436893204,0.8823529411764706
whale_volume,expanding_top1_primary,56,0,0,25532,1444,747,0.05655647814507285,0.5173130193905817
whale_volume,expanding_top1_primary,56,0,1,5746,2532,1736,0.4406543682561782,0.6856240126382307
whale_volume,expanding_top1_primary,56,1,0,56,15,14,0.26785714285714285,0.9333333333333333
whale_volume,expanding_top1_primary,56,1,1,282,67,61,0.2375886524822695,0.9104477611940298
whale_volume,expanding_top1_primary,57,0,0,7628,475,143,0.06227058206607237,0.30105263157894735
whale_volume,expanding_top1_primary,57,0,1,1968,563,466,0.2860772357723577,0.827708703374778
whale_volume,expanding_top1_primary,57,1,0,7,0,0,0.0,
whale_volume,expanding_top1_primary,57,1,1,90,12,11,0.13333333333333333,0.9166666666666666
whale_volume,expanding_top1_primary,58,0,0,19587,802,447,0.04094552509317404,0.557356608478803
whale_volume,expanding_top1_primary,58,0,1,4322,1730,1217,0.4002776492364646,0.7034682080924856
whale_volume,expanding_top1_primary,58,1,0,48,11,11,0.22916666666666666,1.0
whale_volume,expanding_top1_primary,58,1,1,241,45,35,0.18672199170124482,0.7777777777777778
whale_volume,expanding_top1_primary,59,0,0,9541,321,146,0.03364427208887957,0.45482866043613707
whale_volume,expanding_top1_primary,59,0,1,2206,682,502,0.30915684496826834,0.7360703812316716
whale_volume,expanding_top1_primary,59,1,0,10,0,0,0.0,
whale_volume,expanding_top1_primary,59,1,1,87,12,9,0.13793103448275862,0.75
whale_volume,expanding_top1_primary,60,0,0,18950,962,507,0.05076517150395778,0.527027027027027
whale_volume,expanding_top1_primary,60,0,1,5157,2288,1633,0.4436687996897421,0.7137237762237763
whale_volume,expanding_top1_primary,60,1,0,35,2,2,0.05714285714285714,1.0
whale_volume,expanding_top1_primary,60,1,1,309,58,52,0.18770226537216828,0.896551724137931
whale_volume,expanding_top1_primary,61,0,0,22560,1293,569,0.057313829787234045,0.440061871616396
whale_volume,expanding_top1_primary,61,0,1,4258,1820,1172,0.42743071864725224,0.643956043956044
whale_volume,expanding_top1_primary,61,1,0,32,2,2,0.0625,1.0
whale_volume,expanding_top1_primary,61,1,1,214,46,41,0.21495327102803738,0.8913043478260869
whale_volume,expanding_top1_primary,62,0,0,7012,375,179,0.05347974900171135,0.47733333333333333
whale_volume,expanding_top1_primary,62,0,1,1509,439,346,0.29092113982770046,0.7881548974943052
whale_volume,expanding_top1_primary,62,1,0,5,0,0,0.0,
whale_volume,expanding_top1_primary,62,1,1,65,5,5,0.07692307692307693,1.0
whale_volume,expanding_top1_primary,63,0,0,12356,735,494,0.05948527031401748,0.672108843537415
whale_volume,expanding_top1_primary,63,0,1,2837,1085,706,0.3824462460345435,0.6506912442396313
whale_volume,expanding_top1_primary,63,1,0,27,1,1,0.037037037037037035,1.0
whale_volume,expanding_top1_primary,63,1,1,115,13,9,0.11304347826086956,0.6923076923076923
whale_volume,expanding_top1_primary,64,0,0,16229,680,343,0.04190030192864625,0.5044117647058823
whale_volume,expanding_top1_primary,64,0,1,3076,1206,864,0.3920676202860858,0.7164179104477612
whale_volume,expanding_top1_primary,64,1,0,27,1,1,0.037037037037037035,1.0
whale_volume,expanding_top1_primary,64,1,1,176,24,21,0.13636363636363635,0.875
whale_volume,expanding_top1_primary,65,0,0,11130,418,249,0.03755615453728661,0.5956937799043063
