classification_family,specification,event_id,market_id,large_action,dynamic_high_activity,actions,any_next,same_next,source_transaction_actions,any_next_action_5m,same_direction_given_next_5m
whale_volume,expanding_top1_primary,12,1897067,0,0,3153,144,91,3584,0.04567078972407231,0.6319444444444444
whale_volume,expanding_top1_primary,12,1897067,0,1,349,170,96,4452,0.4871060171919771,0.5647058823529412
whale_volume,expanding_top1_primary,12,1897067,1,0,12,1,1,12,0.08333333333333333,1.0
whale_volume,expanding_top1_primary,12,1897067,1,1,36,8,8,126,0.2222222222222222,1.0
whale_volume,expanding_top1_primary,12,1897068,0,0,562,24,12,614,0.042704626334519574,0.5
whale_volume,expanding_top1_primary,12,1897068,0,1,117,61,42,326,0.5213675213675214,0.6885245901639344
whale_volume,expanding_top1_primary,12,1897068,1,0,6,0,0,7,0.0,
whale_volume,expanding_top1_primary,12,1897068,1,1,3,0,0,15,0.0,
whale_volume,expanding_top1_primary,12,1897069,0,0,688,33,12,772,0.04796511627906977,0.36363636363636365
whale_volume,expanding_top1_primary,12,1897069,0,1,123,72,36,622,0.5853658536585366,0.5
whale_volume,expanding_top1_primary,12,1897069,1,0,1,0,0,1,0.0,
whale_volume,expanding_top1_primary,12,1897069,1,1,16,0,0,28,0.0,
whale_volume,expanding_top1_primary,13,1897070,0,0,6647,347,148,7067,0.05220400180532571,0.4265129682997118
whale_volume,expanding_top1_primary,13,1897070,0,1,1123,631,425,2583,0.5618878005342832,0.6735340729001584
whale_volume,expanding_top1_primary,13,1897070,1,0,60,9,8,70,0.15,0.8888888888888888
whale_volume,expanding_top1_primary,13,1897070,1,1,55,12,8,649,0.21818181818181817,0.6666666666666666
whale_volume,expanding_top1_primary,13,1897071,0,0,1399,58,32,1492,0.04145818441744103,0.5517241379310345
whale_volume,expanding_top1_primary,13,1897071,0,1,515,289,213,1001,0.5611650485436893,0.7370242214532872
whale_volume,expanding_top1_primary,13,1897071,1,0,2,1,1,2,0.5,1.0
whale_volume,expanding_top1_primary,13,1897071,1,1,21,5,5,54,0.23809523809523808,1.0
whale_volume,expanding_top1_primary,13,1897072,0,0,1769,123,80,2127,0.06953080836630865,0.6504065040650406
whale_volume,expanding_top1_primary,13,1897072,0,1,1080,506,357,2440,0.4685185185185185,0.7055335968379447
whale_volume,expanding_top1_primary,13,1897072,1,0,12,0,0,13,0.0,
whale_volume,expanding_top1_primary,13,1897072,1,1,44,11,7,74,0.25,0.6363636363636364
whale_volume,expanding_top1_primary,14,1897073,0,0,9483,463,277,11081,0.04882421174733734,0.5982721382289417
whale_volume,expanding_top1_primary,14,1897073,0,1,1509,874,590,4281,0.5791915175612988,0.6750572082379863
whale_volume,expanding_top1_primary,14,1897073,1,0,23,2,2,23,0.08695652173913043,1.0
whale_volume,expanding_top1_primary,14,1897073,1,1,74,22,20,416,0.2972972972972973,0.9090909090909091
whale_volume,expanding_top1_primary,14,1897074,0,0,2672,84,39,3055,0.03143712574850299,0.4642857142857143
whale_volume,expanding_top1_primary,14,1897074,0,1,493,285,219,870,0.5780933062880325,0.7684210526315789
whale_volume,expanding_top1_primary,14,1897074,1,0,2,0,0,2,0.0,
whale_volume,expanding_top1_primary,14,1897074,1,1,17,2,1,31,0.11764705882352941,0.5
